# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01651e-05 to 1.05047 h/Mpc,
# number of wavenumbers equal to 604
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       4.337332783873e-04      -3.044052906132e+00      -3.400660000673e+00      -3.400733991215e+00      -3.019035334211e+00      -3.396026383713e+00      -3.400587380220e+00      -2.302913449667e-05       2.212464422117e-04       2.212513980713e-04      -2.430705421288e-05       2.210669717509e-04       2.211918315410e-04 
       4.625582292912e-04      -3.031924236222e+00      -3.643009826639e+00      -3.643103577430e+00      -3.003131269571e+00      -3.637014560144e+00      -3.642888526246e+00      -3.830884958568e-05       2.516499105487e-04       2.516561171552e-04      -3.928270970535e-05       2.514182513601e-04       2.515850632325e-04 
       4.932609649930e-04      -3.004233069588e+00      -3.919107909603e+00      -3.919226353878e+00      -2.971708586605e+00      -3.911357465087e+00      -3.918927374977e+00      -5.439589614823e-05       2.861641131674e-04       2.861718543991e-04      -5.482464803972e-05       2.858651692581e-04       2.860879021626e-04 
       5.260098685578e-04      -2.961043662162e+00      -4.234027130385e+00      -4.234176345440e+00      -2.925104123180e+00      -4.224012124470e+00      -4.233775076258e+00      -7.019865155346e-05       3.253888976480e-04       3.253985132098e-04      -6.977417236075e-05       3.250031084235e-04       3.253002846509e-04 
       5.609811370090e-04      -2.903947929189e+00      -4.593553115480e+00      -4.593740544817e+00      -2.865271331084e+00      -4.580613816156e+00      -4.593215307710e+00      -8.427350533412e-05       3.700077191463e-04       3.700196121735e-04      -8.262776633705e-05       3.695097216031e-04       3.699058012941e-04 
       5.983566956108e-04      -2.836464833220e+00      -5.004237283956e+00      -5.004471978709e+00      -2.796170156068e+00      -4.987519237125e+00      -5.003797241769e+00      -9.492947804475e-05       4.207949903135e-04       4.208096346131e-04      -9.166016117048e-05       4.201518950105e-04       4.206790148820e-04 
       6.383213144204e-04      -2.764229788715e+00      -5.473436514587e+00      -5.473729383307e+00      -2.723920723625e+00      -5.451833866803e+00      -5.472875052030e+00      -1.004798714438e-04       4.786226244048e-04       4.786405707442e-04      -9.520299437153e-05       4.777918092935e-04       4.784919360375e-04 
       6.810588734856e-04      -2.694752490023e+00      -6.009334779902e+00      -6.009698829095e+00      -2.656488216622e+00      -5.981418538766e+00      -6.008629257517e+00      -9.967624798322e-05       5.444653309763e-04       5.444872117619e-04      -9.211262385600e-05       5.433916433024e-04       5.443192077283e-04 
       7.267477928842e-04      -2.636500653801e+00      -6.620943410291e+00      -6.621393950731e+00      -2.602650197637e+00      -6.584871650617e+00      -6.620066517184e+00      -9.230729164073e-05       6.194041621251e-04       6.194306938303e-04      -8.240260706126e-05       6.180164081789e-04       6.192415005678e-04 
       7.755557410205e-04      -2.597154788803e+00      -7.318078794854e+00      -7.318633581969e+00      -2.570098769311e+00      -7.271485775831e+00      -7.316996648700e+00      -7.983860974532e-05       7.046276645451e-04       7.046596473725e-04      -6.790205332150e-05       7.028342631676e-04       7.044465027340e-04 
       8.276338524315e-04      -2.581148839135e+00      -8.111318432278e+00      -8.111997704945e+00      -2.562823981573e+00      -8.051179841306e+00      -8.109987804995e+00      -6.581584976006e-05       8.014296822170e-04       8.014679966647e-04      -5.263931236596e-05       7.991133642501e-04       8.012266133451e-04 
       8.831108091381e-04      -2.587089969498e+00      -9.011936724106e+00      -9.012763107752e+00      -2.578434594600e+00      -8.934408916186e+00      -9.010301314130e+00      -5.561159795664e-05       9.112023388324e-04       9.112479389880e-04      -4.250613961381e-05       9.082137946581e-04       9.109719651867e-04 
       9.420872430855e-04      -2.606223469011e+00      -1.003181882460e+01      -1.003281707452e+01      -2.606668724403e+00      -9.932051056225e+00      -1.002980472322e+01      -5.510147131626e-05       1.035422125602e-03       1.035476028972e-03      -4.377503135053e-05       1.031572539017e-03       1.035156798358e-03 
       1.004630972780e-03      -2.623433901190e+00      -1.118334370861e+01      -1.118454028905e+01      -2.630661788725e+00      -1.105526400222e+01      -1.118085450732e+01      -6.819085898121e-05       1.175626793189e-03       1.175690066669e-03      -6.041435000362e-05       1.170679252757e-03       1.175316902733e-03 
       1.070773569644e-03      -2.621821350210e+00      -1.247921885277e+01      -1.248064137709e+01      -2.632015199137e+00      -1.231529618357e+01      -1.247613107712e+01      -9.388105572022e-05       1.333381633686e-03       1.333455375125e-03      -9.096858089188e-05       1.327041480140e-03       1.333016558771e-03 
       1.140508646892e-03      -2.590257181760e+00      -1.393224611746e+01      -1.393392271020e+01      -2.598940381695e+00      -1.372323393496e+01      -1.392840563985e+01      -1.245386589163e-04       1.510236538055e-03       1.510321853417e-03      -1.267928069852e-04       1.502140783123e-03       1.509805982597e-03 
       1.213792084750e-03      -2.530812232888e+00      -1.555501045997e+01      -1.555696913799e+01      -2.534101189065e+00      -1.528967883879e+01      -1.555023007814e+01      -1.474857562067e-04       1.707679725332e-03       1.707777703309e-03      -1.538694854111e-04       1.697385754930e-03       1.707174688430e-03 
       1.290544181360e-03      -2.461049055301e+00      -1.735951487236e+01      -1.736178307064e+01      -2.456847954711e+00      -1.702438052708e+01      -1.735357243056e+01      -1.509493417733e-04       1.927098437088e-03       1.927210126338e-03      -1.592371795281e-04       1.914072279156e-03       1.926510825656e-03 
       1.370653493948e-03      -2.407131758764e+00      -1.935677202279e+01      -1.935937652606e+01      -2.395686845464e+00      -1.893584143508e+01      -1.934940796331e+01      -1.323992806744e-04       2.169752296246e-03       2.169878693466e-03      -1.398574319250e-04       2.153356838892e-03       2.169072643579e-03 
       1.453981955828e-03      -2.388894616377e+00      -2.155668738580e+01      -2.155965437296e+01      -2.372395632212e+00      -2.103120769864e+01      -2.154759997313e+01      -1.037941676803e-04       2.436787600789e-03       2.436929659154e-03      -1.081003974936e-04       2.416270891553e-03       2.436001599416e-03 
       1.540370753800e-03      -2.404993058279e+00      -2.396788413143e+01      -2.397123991242e+01      -2.386476703390e+00      -2.331613057622e+01      -2.395672330670e+01      -8.753700507307e-05       2.729242613216e-03       2.729401274583e-03      -8.744749677880e-05       2.703726767606e-03       2.728328601508e-03 
       1.629646437665e-03      -2.430067381848e+00      -2.659777277968e+01      -2.660154506583e+01      -2.412341900271e+00      -2.579487478646e+01      -2.658413456753e+01      -1.020520049250e-04       3.048061830149e-03       3.048238076052e-03      -9.747523679040e-05       3.016532709483e-03       3.046991604404e-03 
       1.721626796957e-03      -2.430003778533e+00      -2.945274017318e+01      -2.945695974285e+01      -2.415220839699e+00      -2.847054969411e+01      -2.943616466780e+01      -1.453499004624e-04       3.394090565781e-03       3.394285473435e-03      -1.370078210552e-04       3.355388332278e-03       3.392833972819e-03 
       1.816126152912e-03      -2.387442866821e+00      -3.253827596899e+01      -3.254297859467e+01      -2.377227051333e+00      -3.134528255012e+01      -3.251825062922e+01      -1.910572036623e-04       3.768043033961e-03       3.768257821924e-03      -1.803105252247e-04       3.720853652714e-03       3.766573486005e-03 
       1.912959845405e-03      -2.317908761996e+00      -3.585896831800e+01      -3.586419670721e+01      -2.313284442098e+00      -3.442026084653e+01      -3.583493477702e+01      -2.054188935537e-04       4.170466759965e-03       4.170702816339e-03      -1.945460716474e-04       4.113314427484e-03       4.168762866394e-03 
       2.011947819053e-03      -2.260201455190e+00      -3.941840282709e+01      -3.942420830636e+01      -2.260775535740e+00      -3.769567502705e+01      -3.938976254445e+01      -1.759293468159e-04       4.601735694756e-03       4.601994592257e-03      -1.682690677877e-04       4.532976122971e-03       4.599776345655e-03 
       2.112917313223e-03      -2.245065101580e+00      -4.321909689997e+01      -4.322554059483e+01      -2.248062496708e+00      -4.117069121481e+01      -4.318521163167e+01      -1.268689751426e-04       5.062087899324e-03       5.062371405515e-03      -1.257687515533e-04       4.979902344390e-03       5.059843792827e-03 
       2.215704730543e-03      -2.267846249129e+00      -4.726258888892e+01      -4.726974222496e+01      -2.268464776354e+00      -4.484357161461e+01      -4.722277637673e+01      -1.026014189653e-04       5.551688038331e-03       5.551998120699e-03      -1.090655443100e-04       5.454077927481e-03       5.549117021769e-03 
       2.320156798643e-03      -2.291541854882e+00      -5.154967720135e+01      -5.155762165000e+01      -2.285341866001e+00      -4.871193666554e+01      -5.150320707990e+01      -1.279103938018e-04       6.070670766603e-03       6.071009579102e-03      -1.387281116166e-04       5.955452753805e-03       6.067722236088e-03 
       2.426131155702e-03      -2.280500041659e+00      -5.608067564161e+01      -5.608950173284e+01      -2.266405938089e+00      -5.277303486588e+01      -5.602677070555e+01      -1.815606263907e-04       6.619134859466e-03       6.619504694907e-03      -1.903747918527e-04       6.483936152801e-03       6.615760186512e-03 
       2.533496488812e-03      -2.234215270413e+00      -6.085553935138e+01      -6.086534507997e+01      -2.215357903966e+00      -5.702387495514e+01      -6.079338219591e+01      -2.133349840102e-04       7.197102222808e-03       7.197505431187e-03      -2.149312307374e-04       7.039356081491e-03       7.193261264580e-03 
       2.642132342079e-03      -2.187327092797e+00      -6.587383321007e+01      -6.588472207482e+01      -2.168408327637e+00      -6.146119323658e+01      -6.580257255409e+01      -1.935061492612e-04       7.804489738075e-03       7.804928633093e-03      -1.880005693065e-04       7.621431123569e-03       7.800146024810e-03 
