# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_ur             14:(.)rho_crit           15:U                     16:U_prime               17:V                     18:V_prime               19:gr.fac. D             20:gr.fac. f          
       9.326212236469e+13       8.686918978671e-26       4.967660061084e-09       1.877284560210e+22       1.416699289572e+04       1.519051093468e-10       1.321243824981e+18       2.868233862558e-09       2.083142168447e+44       2.002773239151e+33       1.082165441073e+34       1.438022600744e+44       3.032550681460e+41       3.524197320001e+44       2.478094008729e-13       1.430756373416e-03       1.351614098733e-68       1.621650103200e-58       6.170074117751e-18       2.000000000005e+00 
       9.261382558559e+13       8.808961503402e-26       5.002220859751e-09       1.851275983912e+22       1.416699289572e+04       1.529684451122e-10       1.312059409117e+18       2.888311499596e-09       2.025820810155e+44       1.961297018378e+33       1.059754450219e+34       1.398452853667e+44       2.949104660932e+41       3.427222768609e+44       2.998748426910e-13       1.563157960115e-03       2.010413029166e-68       2.186057810150e-58       6.256757489032e-18       2.000000000004e+00 
       9.197003533823e+13       8.932718603563e-26       5.038600647822e-09       1.825627739796e+22       1.416699289572e+04       1.540392242280e-10       1.302938837256e+18       2.908529680093e-09       1.970076750890e+44       1.920679745017e+33       1.037807577411e+34       1.359971938493e+44       2.867954805933e+41       3.332916644311e+44       3.569090615033e-13       1.693724126984e-03       2.892810437074e-68       2.874581318419e-58       6.344658674995e-18       2.000000000003e+00 
       9.133072029615e+13       9.058214367224e-26       5.073161446489e-09       1.800334835689e+22       1.416699289572e+04       1.551174987976e-10       1.293881665597e+18       2.928889387853e-09       1.915866588467e+44       1.880903630787e+33       1.016315211047e+34       1.322549894076e+44       2.789037933389e+41       3.241205520596e+44       4.189147911075e-13       1.822481824853e-03       4.048250934253e-68       3.701936271874e-58       6.433794784721e-18       2.000000000002e+00 
       9.069584935070e+13       9.185473220869e-26       5.107722245157e-09       1.775392348584e+22       1.416699289572e+04       1.562033212892e-10       1.284887453423e+18       2.949391613568e-09       1.863148114988e+44       1.841951255791e+33       9.952679385732e+33       1.286157583706e+44       2.712292598820e+41       3.152017991412e+44       4.858950401293e-13       1.949453803232e-03       5.532529510602e-68       4.683512231001e-58       6.524183167651e-18       2.000000000001e+00 
       9.006539160943e+13       9.314519934149e-26       5.144102033228e-09       1.750795423677e+22       1.416699289572e+04       1.572967445382e-10       1.275955763081e+18       2.970037354863e-09       1.811880283983e+44       1.803805560890e+33       9.746565423646e+33       1.250766672422e+44       2.637659048501e+41       3.065284615569e+44       5.578530814504e-13       2.074667252768e-03       7.408200785475e-68       5.835398949805e-58       6.615841416974e-18       2.000000000000e+00 
       8.943931639467e+13       9.445379624704e-26       5.180481821299e-09       1.726539273425e+22       1.416699289572e+04       1.583978217500e-10       1.267086159962e+18       2.990827616347e-09       1.762023178446e+44       1.766449840226e+33       9.544719956879e+33       1.216349604947e+44       2.565079172934e+41       2.980937862679e+44       6.347923643692e-13       2.198145179517e-03       9.745009259158e-68       7.174413549578e-58       6.708787373041e-18       1.999999999999e+00 
       8.881759324197e+13       9.578077763051e-26       5.216861609370e-09       1.702619176613e+22       1.416699289572e+04       1.595066065022e-10       1.258278212474e+18       3.011763409661e-09       1.713537979758e+44       1.729867733913e+33       9.347054587478e+33       1.182879584240e+44       2.494496461611e+41       2.898912060571e+44       7.167166652007e-13       2.319913873115e-03       1.262034149144e-67       8.718128564607e-58       6.803039126844e-18       1.999999999999e+00 
       8.820019189868e+13       9.712640177544e-26       5.253241397440e-09       1.679030477436e+22       1.416699289572e+04       1.606231527478e-10       1.249531492030e+18       3.032845753529e-09       1.666386937466e+44       1.694043220864e+33       9.153482748158e+33       1.150330550625e+44       2.425855959008e+41       2.819143344158e+44       8.036300378315e-13       2.439996966022e-03       1.611970126948e-67       1.048490112787e-57       6.898615023537e-18       1.999999999998e+00 
       8.758708232243e+13       9.849093059398e-26       5.289621185511e-09       1.655768584591e+22       1.416699289572e+04       1.617475148170e-10       1.240845573019e+18       3.054075673804e-09       1.620533339885e+44       1.658960611783e+33       8.963919664391e+33       1.118677161506e+44       2.359104221801e+41       2.741569605719e+44       8.955367205743e-13       2.558415665477e-03       2.033720878370e-67       1.249390308368e-57       6.995533666003e-18       1.999999999997e+00 
       8.697823467967e+13       9.987462967789e-26       5.326000973582e-09       1.632828970386e+22       1.416699289572e+04       1.628797474207e-10       1.232220032789e+18       3.075454203520e-09       1.575941485518e+44       1.624604542288e+33       8.778282317277e+33       1.087894771634e+44       2.294189277254e+41       2.666130446533e+44       9.924411272950e-13       2.675193715547e-03       2.537612483561e-67       1.476515175273e-57       7.093813918476e-18       1.999999999996e+00 
       8.637361934426e+13       1.012777683502e-25       5.364199751057e-09       1.610207169857e+22       1.416699289572e+04       1.640199056526e-10       1.223654451628e+18       3.096982382945e-09       1.532576655259e+44       1.590959966184e+33       8.596489407187e+33       1.057959413916e+44       2.231060582754e+41       2.592767129860e+44       1.094348003375e-12       2.790353920996e-03       3.134940117224e-67       1.731954210067e-57       7.193474910217e-18       1.999999999995e+00 
       8.577320689599e+13       1.027006197178e-25       5.402398528531e-09       1.587898779899e+22       1.416699289572e+04       1.651680449922e-10       1.215148412739e+18       3.118661259625e-09       1.490405085360e+44       1.558012148874e+33       8.418461318160e+33       1.028847780758e+44       2.169668986456e+41       2.521422535204e+44       1.201262343610e-12       2.903918535322e-03       3.838025823990e-67       2.017888011312e-57       7.294536039230e-18       1.999999999994e+00 
       8.517696811915e+13       1.041434607242e-25       5.438778316602e-09       1.565899458408e+22       1.416699289572e+04       1.663242213072e-10       1.206701502223e+18       3.140491888442e-09       1.449393941140e+44       1.525746660904e+33       8.244120083031e+33       1.000537205915e+44       2.109966689017e+41       2.452041113842e+44       1.313189273540e-12       3.015908663056e-03       4.660279152788e-67       2.336591693230e-57       7.397016976045e-18       1.999999999994e+00 
       8.458487400115e+13       1.056065722039e-25       5.476977094077e-09       1.544204923439e+22       1.416699289572e+04       1.674884908563e-10       1.198313309060e+18       3.162475331661e-09       1.409511291427e+44       1.494149371649e+33       8.073389349289e+33       9.730056468429e+43       2.051907206376e+41       2.384568845572e+44       1.430134237977e-12       3.126347220625e-03       5.616260768446e-67       2.690438425093e-57       7.500937667541e-18       1.999999999993e+00 
