# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.34
# for k=1.01651e-05 to 1.05047 h/Mpc,
# number of wavenumbers equal to 604
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.708406153436e-04      -1.749893029703e+00      -1.317461166353e+00      -1.317461959028e+00      -1.749693725065e+00      -1.317729935850e+00      -1.317713869760e+00       2.176009283305e-05       2.408615760882e-05       2.408641774235e-05       2.168421175803e-05       2.407790011851e-05       2.408446656144e-05 
       1.862446902463e-04      -1.773169181941e+00      -1.336966704061e+00      -1.336967820566e+00      -1.772889628299e+00      -1.337208407527e+00      -1.337221411600e+00       2.536005817371e-05       2.862410747026e-05       2.862447343516e-05       2.525396002044e-05       2.861250379003e-05       2.862173502604e-05 
       2.021753435750e-04      -1.798814661040e+00      -1.358907487594e+00      -1.358909033007e+00      -1.798429511253e+00      -1.359112134992e+00      -1.359164091643e+00       2.922955273075e-05       3.372848176898e-05       3.372898765853e-05       2.908389970948e-05       3.371243689101e-05       3.372521217940e-05 
       2.186923612795e-04      -1.826955503732e+00      -1.383554063725e+00      -1.383556171736e+00      -1.826432856852e+00      -1.383708746046e+00      -1.383812351702e+00       3.335440828048e-05       3.946217214194e-05       3.946286120985e-05       3.315755426732e-05       3.944028393446e-05       3.945773355883e-05 
       2.358606543210e-04      -1.857717373692e+00      -1.411220218606e+00      -1.411223058815e+00      -1.857017250953e+00      -1.411308314649e+00      -1.411479841561e+00       3.771244983361e-05       4.589811570699e-05       4.589904265091e-05       3.744994971317e-05       4.586859227243e-05       4.589216698653e-05 
       2.537508515962e-04      -1.891220175071e+00      -1.442269850407e+00      -1.442273637532e+00      -1.890292651133e+00      -1.442270007035e+00      -1.442530282618e+00       4.227094885944e-05       5.312088985236e-05       5.312212367714e-05       4.192497525038e-05       5.308144342061e-05       5.311300430726e-05 
       2.724399275397e-04      -1.927570631527e+00      -1.477125041980e+00      -1.477130047509e+00      -1.926353550395e+00      -1.477009859471e+00      -1.477385529055e+00       4.698347761561e-05       6.122858501618e-05       6.123021262451e-05       4.653213408846e-05       6.117629530409e-05       6.121823045747e-05 
       2.920118575231e-04      -1.966852249133e+00      -1.516275514371e+00      -1.516282081287e+00      -1.965268445450e+00      -1.516009847045e+00      -1.516535006685e+00       5.178608124314e-05       7.033499707332e-05       7.033712776631e-05       5.120260427230e-05       7.026613483063e-05       7.032151138188e-05 
       3.125582893768e-04      -2.009111976142e+00      -1.560289653363e+00      -1.560298214773e+00      -2.007065916919e+00      -1.559828407564e+00      -1.560546720873e+00       5.659271011076e-05       8.057218405302e-05       8.057495516368e-05       5.584455867192e-05       8.048198260706e-05       8.055474543098e-05 
       3.341792129825e-04      -2.054342790196e+00      -1.609827310843e+00      -1.609838413512e+00      -2.051716552425e+00      -1.609112585343e+00      -1.610080034315e+00       6.128991194018e-05       9.209343314320e-05       9.209701707173e-05       6.033775588069e-05       9.197579193306e-05       9.207102413755e-05 
       3.569836016073e-04      -2.102461408594e+00      -1.665654575303e+00      -1.665668909347e+00      -2.099109920146e+00      -1.664611940794e+00      -1.665900407883e+00       6.573089180664e-05       1.050766822964e-04       1.050812952648e-04       6.452753079319e-05       1.049237813890e-04       1.050480466981e-04 
       3.810899882258e-04      -2.153280391368e+00      -1.728660678372e+00      -1.728679114608e+00      -2.149025894106e+00      -1.727194329870e+00      -1.728896270114e+00       6.972923516387e-05       1.197284345651e-04       1.197343474567e-04       6.821851311132e-05       1.195302326506e-04       1.196920264207e-04 
       4.066269273864e-04      -2.206474178160e+00      -1.799877148156e+00      -1.799900784887e+00      -2.201099934992e+00      -1.797863583303e+00      -1.800098124770e+00       7.305289001063e-05       1.362881903612e-04       1.362957420452e-04       7.116872048896e-05       1.360317703546e-04       1.362421146676e-04 
       4.337332783873e-04      -2.261539193440e+00      -1.880499226774e+00      -1.880529448052e+00      -2.254782571052e+00      -1.877778999722e+00      -1.880699912511e+00       7.541945995255e-05       1.550333999778e-04       1.550430135353e-04       7.308515206812e-05       1.547021156706e-04       1.549753452780e-04 
       4.625582292912e-04      -2.317749239300e+00      -1.971909417736e+00      -1.971947965322e+00      -2.309294476170e+00      -1.968276388173e+00      -1.972082491207e+00       7.649451274102e-05       1.762849028331e-04       1.762971050631e-04       7.362269031428e-05       1.758572666039e-04       1.762120670162e-04 
       4.932609649930e-04      -2.374109203199e+00      -2.075702797367e+00      -2.075751858663e+00      -2.363580442643e+00      -2.070890135567e+00      -2.075838868585e+00       7.589548630152e-05       2.004127694029e-04       2.004282138735e-04       7.238902959420e-05       1.998610044914e-04       2.003217816947e-04 
       5.260098685578e-04      -2.429312821818e+00      -2.193713436131e+00      -2.193775750087e+00      -2.416268373190e+00      -2.187375451804e+00      -2.193800533481e+00       7.320483019091e-05       2.278423887722e-04       2.278618824435e-04       6.895943598312e-05       2.271305497317e-04       2.277292332919e-04 
       5.609811370090e-04      -2.481714055693e+00      -2.328040864211e+00      -2.328119846508e+00      -2.465643356582e+00      -2.319729506408e+00      -2.328063822072e+00       6.799713246760e-05       2.590605560451e-04       2.590850890702e-04       6.290626887081e-05       2.581420980555e-04       2.589205054108e-04 
       5.983566956108e-04      -2.529326388396e+00      -2.481075056932e+00      -2.481174944297e+00      -2.509651755986e+00      -2.470209686984e+00      -2.481014798722e+00       5.988577348841e-05       2.946212027958e-04       2.946519804471e-04       5.384895956091e-05       2.934358552057e-04       2.944487738231e-04 
       6.383213144204e-04      -2.569869519066e+00      -2.655517887346e+00      -2.655643898496e+00      -2.545955425162e+00      -2.641346677452e+00      -2.655350605180e+00       4.859447610799e-05       3.351502952135e-04       3.351887699397e-04       4.152986520123e-05       3.336200688923e-04       3.349392420281e-04 
       6.810588734856e-04      -2.600886990865e+00      -2.854398493602e+00      -2.854557000711e+00      -2.572060099721e+00      -2.835949577806e+00      -2.854094734211e+00       3.405691240879e-05       3.813493090698e-04       3.813972094604e-04       2.591897540367e-05       3.793734439678e-04       3.810926704404e-04 
       7.267477928842e-04      -2.619958670585e+00      -3.081079622456e+00      -3.081278322248e+00      -2.585541941036e+00      -3.057099970567e+00      -3.080603297938e+00       1.654187137572e-05       4.339966044725e-04       4.340559564954e-04       7.344387528860e-06       4.314452480131e-04       4.336868193554e-04 
       7.755557410205e-04      -2.625024743877e+00      -3.339251880770e+00      -3.339499948571e+00      -2.584388077480e+00      -3.308131840824e+00      -3.338559228878e+00      -3.209044099348e-06       4.939459973985e-04       4.940191319195e-04      -1.336566473314e-05       4.906524024217e-04       4.935750921145e-04 
       8.276338524315e-04      -2.614818391668e+00      -3.632913103726e+00      -3.633221307905e+00      -2.567446088249e+00      -3.592594735425e+00      -3.631951620267e+00      -2.386023755098e-05       5.621218917887e-04       5.622114315538e-04      -3.476017357952e-05       5.578729423084e-04       5.616817201636e-04 
       8.831108091381e-04      -2.589369085558e+00      -3.966330849686e+00      -3.966711599498e+00      -2.534940338669e+00      -3.914198627412e+00      -3.965038198414e+00      -4.342628837243e-05       6.395105271844e-04       6.396193467964e-04      -5.471344401992e-05       6.340354489771e-04       6.389930090741e-04 
       9.420872430855e-04      -2.550488291732e+00      -4.343987402818e+00      -4.344454702295e+00      -2.488961158591e+00      -4.276740654861e+00      -4.342290270090e+00      -5.934801549615e-05       7.271472136437e-04       7.272783683785e-04      -7.051301387860e-05       7.201044101674e-04       7.265444697543e-04 
       1.004630972780e-03      -2.502093829800e+00      -4.770508519542e+00      -4.771077806051e+00      -2.433776486413e+00      -4.684016117951e+00      -4.768321320924e+00      -6.877142042342e-05       8.260998579920e-04       8.262564821696e-04      -7.915987583261e-05       8.170619316498e-04       8.254040903629e-04 
       1.070773569644e-03      -2.450189153408e+00      -5.250579208799e+00      -5.251267070728e+00      -2.375777001077e+00      -5.139718472417e+00      -5.247802483526e+00      -6.907633237860e-05       9.374495465607e-04       9.376347296440e-04      -7.792656154830e-05       9.258867142724e-04       9.366524862544e-04 
       1.140508646892e-03      -2.402320778252e+00      -5.788851753875e+00      -5.789675546987e+00      -2.322877472244e+00      -5.647335181502e+00      -5.785370025597e+00      -5.863511908880e-05       1.062269389093e-03       1.062486046691e-03      -6.514778995370e-05       1.047531665310e-03       1.061361156776e-03 
       1.213792084750e-03      -2.366421997708e+00      -6.389852454285e+00      -6.390829869672e+00      -2.283290285869e+00      -6.210047551641e+00      -6.385531333815e+00      -3.767182331755e-05       1.201603097096e-03       1.201853862256e-03      -4.110346036487e-05       1.182901773326e-03       1.200570429390e-03 
