#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:dU_nlde               22:dV_nlde            
       2.061980915198e+02       6.131818695555e-04      -2.381143269180e+00       4.256709724809e-03       1.451064232975e-03       3.562932536547e-03       7.162415692465e-06       7.126056676709e-04      -1.786216880392e+00       4.267529956050e-03       5.530504124858e-01       5.840310295112e-01      -2.274330274190e+00       2.756754926726e-03       1.081047491632e-01      -1.877126472788e+00       5.802994451489e-03      -2.269530948172e+00       2.767094377239e-03       1.077092703280e-01      -6.632544461738e-02       4.698212555082e-11 
       2.066883795490e+02       6.150408452084e-04      -2.385079478298e+00       4.259791460924e-03       1.461323902591e-03       3.577007049705e-03       7.216839889112e-06       7.154229443385e-04      -1.789174374526e+00       4.270743620440e-03       5.528788951017e-01       5.837429007454e-01      -2.277282781638e+00       2.750178601896e-03       1.083470715081e-01      -1.880838864109e+00       5.814685254437e-03      -2.272428624436e+00       2.760690433951e-03       1.079471081431e-01      -6.807692497576e-02       4.751266921726e-11 
       2.071818017893e+02       6.169136264543e-04      -2.389042189157e+00       4.262862062091e-03       1.471451366161e-03       3.593135457555e-03       7.280613293874e-06       7.186502142521e-04      -1.792151844833e+00       4.273948773371e-03       5.527105813666e-01       5.834531012531e-01      -2.280249118018e+00       2.743498662659e-03       1.085894306398e-01      -1.884580258367e+00       5.826441386144e-03      -2.275267819209e+00       2.754347645434e-03       1.081791134672e-01      -6.984506951702e-02       4.805117987108e-11 
       2.076784097928e+02       6.188004460132e-04      -2.393031817901e+00       4.265921341524e-03       1.481590071707e-03       3.610922656829e-03       7.352023264369e-06       7.222087789957e-04      -1.795149606127e+00       4.277145225920e-03       5.525277917246e-01       5.831616048476e-01      -2.283229451853e+00       2.736713374328e-03       1.088318136288e-01      -1.888351140982e+00       5.838263904840e-03      -2.278345155886e+00       2.747396271936e-03       1.084294139796e-01      -7.163013602198e-02       4.859782773599e-11 
       2.081782583733e+02       6.207015500670e-04      -2.397048806174e+00       4.268969081123e-03       1.491827012337e-03       3.630095570159e-03       7.429816811608e-06       7.260442171274e-04      -1.798167992459e+00       4.280332863303e-03       5.523699880442e-01       5.828683836950e-01      -2.286223966237e+00       2.729820927917e-03       1.090742079744e-01      -1.892152024375e+00       5.850153939102e-03      -2.280996275569e+00       2.741343599542e-03       1.086440656627e-01      -7.343239587291e-02       4.915279019936e-11 
       2.086814060093e+02       6.226171998730e-04      -2.401093624600e+00       4.272005059206e-03       1.502215894060e-03       3.650461388341e-03       7.513097880901e-06       7.301180834934e-04      -1.801207359766e+00       4.283511590792e-03       5.521925164015e-01       5.825734080268e-01      -2.289232861209e+00       2.722819433298e-03       1.093166017229e-01      -1.895983451425e+00       5.862112698026e-03      -2.283971276920e+00       2.734480477257e-03       1.088838484960e-01      -7.525213560963e-02       4.971625250979e-11 
       2.091879153061e+02       6.245476736126e-04      -2.405166776606e+00       4.275029053880e-03       1.512791203368e-03       3.671881543543e-03       7.601240748475e-06       7.344027346527e-04      -1.804268088757e+00       4.286681335574e-03       5.520137646843e-01       5.822766458537e-01      -2.292256356294e+00       2.715706910807e-03       1.095589836030e-01      -1.899845999289e+00       5.874141482315e-03      -2.286960522396e+00       2.727508516003e-03       1.091236041758e-01      -7.708965875148e-02       5.028840856863e-11 
       2.096978535210e+02       6.264932684963e-04      -2.409268802785e+00       4.278040847608e-03       1.523576756909e-03       3.694255362183e-03       7.693822480841e-06       7.388780780550e-04      -1.807350588206e+00       4.289842044548e-03       5.518337008352e-01       5.819780626397e-01      -2.295294693401e+00       2.708481281321e-03       1.098013431799e-01      -1.903740283759e+00       5.886241696629e-03      -2.289964254346e+00       2.720425705565e-03       1.093633225332e-01      -7.894528789836e-02       5.086946182850e-11 
       2.102112931597e+02       6.284543031534e-04      -2.413400285703e+00       4.281040228563e-03       1.534590929717e-03       3.717509699684e-03       7.790572852796e-06       7.435295102230e-04      -1.810455298581e+00       4.292993688797e-03       5.516522935689e-01       5.816776209664e-01      -2.298348139968e+00       2.701140354741e-03       1.100436710296e-01      -1.907666964117e+00       5.898414863332e-03      -2.292982711314e+00       2.713229894489e-03       1.096029930091e-01      -8.081936713331e-02       5.145962631320e-11 
       2.107283126642e+02       6.304311203902e-04      -2.417561855529e+00       4.284026992126e-03       1.545849880720e-03       3.741592308426e-03       7.891338515500e-06       7.483465971151e-04      -1.813582696289e+00       4.296136268187e-03       5.514695107484e-01       5.813752801281e-01      -2.301416992669e+00       2.693681816558e-03       1.102859589397e-01      -1.911626748775e+00       5.910662638297e-03      -2.296016206307e+00       2.705918866014e-03       1.098426084229e-01      -8.271226480781e-02       5.205912779161e-11 
