# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.752961997957e-10       9.636154249494e-15       1.942025329847e-13       5.382027171318e-16       7.744476873841e-11       8.407034257298e-12      -7.794673910454e-15 
   43       1.777714047981e-10       1.039594178178e-14       1.809608046020e-13       5.577129086873e-16       7.373302283272e-11       8.046904965886e-12      -7.641403282700e-15 
   44       1.802715302770e-10       1.119285055060e-14       1.661245954618e-13       5.772445339513e-16       7.025962362694e-11       7.707818062046e-12      -7.436433497602e-15 
   45       1.827957504449e-10       1.202724337584e-14       1.497010219886e-13       5.967764655943e-16       6.699069373376e-11       7.385266601813e-12      -7.214253309467e-15 
   46       1.853464951822e-10       1.289954593773e-14       1.316772065345e-13       6.162858695974e-16       6.392104551217e-11       7.079091186505e-12      -6.996704808918e-15 
   47       1.879251984991e-10       1.381016398682e-14       1.120369423626e-13       6.357490428390e-16       6.104706859338e-11       6.789835655002e-12      -6.804247346512e-15 
   48       1.905305341315e-10       1.475945065992e-14       9.076704748997e-14       6.551417141354e-16       5.835602465666e-11       6.517329389580e-12      -6.660317896720e-15 
   49       1.931581710523e-10       1.574770441649e-14       6.785741727801e-14       6.744390173930e-16       5.582536885809e-11       6.260630330026e-12      -6.591472579931e-15 
   50       1.958030657024e-10       1.677516065626e-14       4.329818913418e-14       6.936166559458e-16       5.342953162984e-11       6.018386419322e-12      -6.619435571317e-15 
   51       1.984676394150e-10       1.784196867713e-14       1.707020731177e-14       7.126548304450e-16       5.116400853919e-11       5.790167810577e-12      -6.734373147265e-15 
   52       2.011553980465e-10       1.894820489567e-14      -1.084793920651e-14       7.315353307420e-16       4.902663639733e-11       5.575397769012e-12      -6.914609810409e-15 
   53       2.038684671111e-10       2.009387631429e-14      -4.047733636600e-14       7.502404664035e-16       4.701038466959e-11       5.372929435381e-12      -7.133853228292e-15 
   54       2.066074666671e-10       2.127891816031e-14      -7.183882835034e-14       7.687530959183e-16       4.510302798038e-11       5.181008530984e-12      -7.360954926507e-15 
   55       2.093722853392e-10       2.250320779568e-14      -1.049512949964e-13       7.870569453777e-16       4.329087064533e-11       4.997774348539e-12      -7.567114448984e-15 
   56       2.121649141808e-10       2.376661590165e-14      -1.398257920673e-13       8.051375903078e-16       4.157175402909e-11       4.822993907044e-12      -7.750135824801e-15 
   57       2.149870976575e-10       2.506896387403e-14      -1.764701012217e-13       8.229817689048e-16       3.994470686121e-11       4.656693273109e-12      -7.915777763716e-15 
   58       2.178394080678e-10       2.641000697709e-14      -2.148904210400e-13       8.405771535383e-16       3.840601038440e-11       4.498641051740e-12      -8.070887730187e-15 
   59       2.207211554608e-10       2.778943261646e-14      -2.550913799752e-13       8.579123912372e-16       3.694902873075e-11       4.348332063525e-12      -8.223452641731e-15 
   60       2.236302975537e-10       2.920685861213e-14      -2.970760493034e-13       8.749771441756e-16       3.556403929783e-11       4.204971021823e-12      -8.382649567281e-15 
   61       2.265645723562e-10       3.066185022693e-14      -3.408445466716e-13       8.917617685035e-16       3.424092949122e-11       4.067714709025e-12      -8.556181687921e-15 
   62       2.295253969206e-10       3.215397962555e-14      -3.863894511601e-13       9.082561750059e-16       3.297837803354e-11       3.936498954005e-12      -8.741472720068e-15 
   63       2.325146878378e-10       3.368277675781e-14      -4.336993773796e-13       9.244507833857e-16       3.177644287707e-11       3.811369158283e-12      -8.932576956151e-15 
   64       2.355336654803e-10       3.524771067132e-14      -4.827602629213e-13       9.403368897886e-16       3.063379957232e-11       3.692230216788e-12      -9.122684855265e-15 
   65       2.385828027156e-10       3.684818837946e-14      -5.335553365880e-13       9.559066958140e-16       2.954766259174e-11       3.578838397019e-12      -9.304087604953e-15 
   66       2.416617736188e-10       3.848355372951e-14      -5.860650866260e-13       9.711533375261e-16       2.851370665357e-11       3.470793218218e-12      -9.468141682996e-15 
   67       2.447694021860e-10       4.015308627065e-14      -6.402672289563e-13       9.860709144646e-16       2.752598804560e-11       3.367529330537e-12      -9.605233419192e-15 
   68       2.479044436818e-10       4.185597925558e-14      -6.961379363048e-13       1.000654078320e-15       2.657853010683e-11       3.268468851470e-12      -9.706948253849e-15 
   69       2.510682271706e-10       4.359127099936e-14      -7.536558858138e-13       1.014896637328e-15       2.567062859140e-11       3.173532371462e-12      -9.773168141822e-15 
   70       2.542624587578e-10       4.535789751469e-14      -8.127989782809e-13       1.028792719905e-15       2.480248491299e-11       3.082717378619e-12      -9.806355214247e-15 
   71       2.574884068767e-10       4.715471051198e-14      -8.735431502976e-13       1.042337207397e-15       2.397360163587e-11       2.995943017856e-12      -9.809494898458e-15 
   72       2.607468722967e-10       4.898047573376e-14      -9.358623747288e-13       1.055525751824e-15       2.318274636027e-11       2.913046073831e-12      -9.786116865883e-15 
   73       2.640381581309e-10       5.083387128907e-14      -9.997286611924e-13       1.068354793634e-15       2.242791560774e-11       2.833776953880e-12      -9.740315979934e-15 
   74       2.673620398447e-10       5.271348598781e-14      -1.065112056538e-12       1.080821579449e-15       2.170629870657e-11       2.757795670952e-12      -9.676773243894e-15 
   75       2.707177352633e-10       5.461781767518e-14      -1.131980645328e-12       1.092924179814e-15       2.101424167707e-11       2.684667826544e-12      -9.600776748809e-15 
   76       2.741044000927e-10       5.654534666039e-14      -1.200300546274e-12       1.104661214911e-15       2.034815323912e-11       2.613973615415e-12      -9.517332637189e-15 
   77       2.775227851010e-10       5.849477514355e-14      -1.270035899742e-12       1.116030934706e-15       1.970749340534e-11       2.545666667917e-12      -9.428264522710e-15 
   78       2.809738280469e-10       6.046482862624e-14      -1.341148878830e-12       1.127032002529e-15       1.909226679126e-11       2.479773650120e-12      -9.334620736352e-15 
   79       2.844581360701e-10       6.245418456666e-14      -1.413599693599e-12       1.137663783801e-15       1.850211231702e-11       2.416285375199e-12      -9.237539637620e-15 
   80       2.879759664760e-10       6.446147225396e-14      -1.487346591464e-12       1.147926357796e-15       1.793628641173e-11       2.355155103977e-12      -9.138251902459e-15 
   81       2.915272075196e-10       6.648527268244e-14      -1.562345857598e-12       1.157820529398e-15       1.739364621778e-11       2.296296845463e-12      -9.038082811192e-15 
   82       2.951113591891e-10       6.852411842583e-14      -1.638551815322e-12       1.167347840867e-15       1.687263279521e-11       2.239583657387e-12      -8.938454536440e-15 
   83       2.987275139908e-10       7.057649351156e-14      -1.715916826506e-12       1.176510583596e-15       1.637125432608e-11       2.184845946741e-12      -8.840888431054e-15 
   84       3.023747632782e-10       7.264082740281e-14      -1.794391564066e-12       1.185311563791e-15       1.588756962422e-11       2.131914776241e-12      -8.746628035920e-15 
   85       3.060535357311e-10       7.471547607395e-14      -1.873925880496e-12       1.193753329110e-15       1.542126755234e-11       2.080763755213e-12      -8.655431283697e-15 
   86       3.097644465683e-10       7.679873755265e-14      -1.954468084717e-12       1.201838834787e-15       1.497231986222e-11       2.031387664698e-12      -8.566581331892e-15 
   87       3.135078798445e-10       7.888885731173e-14      -2.035964687672e-12       1.209571685820e-15       1.454049590577e-11       1.983758613786e-12      -8.479244014214e-15 
   88       3.172839763863e-10       8.098402804434e-14      -2.118360407300e-12       1.216956144604e-15       1.412535424785e-11       1.937825096557e-12      -8.392463754046e-15 
   89       3.210926217286e-10       8.308238943919e-14      -2.201598173498e-12       1.223997138549e-15       1.372623427913e-11       1.893511049021e-12      -8.305159477916e-15 
   90       3.249334340502e-10       8.518202795580e-14      -2.285619133099e-12       1.230700267708e-15       1.334224782890e-11       1.850714906058e-12      -8.216120528970e-15 
   91       3.288057521105e-10       8.728097659971e-14      -2.370362654836e-12       1.237071812401e-15       1.297227077795e-11       1.809308658355e-12      -8.124002580441e-15 
   92       3.327086231850e-10       8.937721469771e-14      -2.455766334315e-12       1.243118740842e-15       1.261493467139e-11       1.769136909354e-12      -8.027323549122e-15 
   93       3.366411248634e-10       9.146872116108e-14      -2.541766975177e-12       1.248848357748e-15       1.226895104722e-11       1.730055623853e-12      -7.924922073625e-15 
   94       3.406034120098e-10       9.355364392709e-14      -2.628303690607e-12       1.254267173163e-15       1.193415843766e-11       1.692057088633e-12      -7.817420703241e-15 
   95       3.445958056926e-10       9.563015570447e-14      -2.715315279651e-12       1.259381876815e-15       1.161061806259e-11       1.655162089748e-12      -7.705976241177e-15 
   96       3.486184659732e-10       9.769640325878e-14      -2.802739310707e-12       1.264199684624e-15       1.129829137581e-11       1.619381502562e-12      -7.591839020572e-15 
   97       3.526713844241e-10       9.975050792179e-14      -2.890512139899e-12       1.268728341404e-15       1.099703624500e-11       1.584715893532e-12      -7.476355167518e-15 
   98       3.567543766486e-10       1.017905661010e-13      -2.978568929443e-12       1.272976123559e-15       1.070660313173e-11       1.551155121990e-12      -7.360968864085e-15 
   99       3.608670747991e-10       1.038146497889e-13      -3.066843666018e-12       1.276951841776e-15       1.042663127141e-11       1.518677941922e-12      -7.247224611344e-15 
  100       3.650089200966e-10       1.058208070728e-13      -3.155269179136e-12       1.280664843727e-15       1.015664485326e-11       1.487251603751e-12      -7.136769492386e-15 
  101       3.691791553494e-10       1.078070626439e-13      -3.243777159512e-12       1.284125016761e-15       9.896049200311e-12       1.456831456118e-12      -7.031355435346e-15 
