# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.34
# for k=1.04216e-05 to 1.08687 h/Mpc,
# number of wavenumbers equal to 604
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       5.155435081536e-04      -2.401732120049e+00      -2.123338529995e+00      -2.123392300668e+00      -2.390273608736e+00      -2.116503927487e+00      -2.123586312170e+00       7.375814851254e-05       2.081576605415e-04       2.081745061016e-04       6.998182159248e-05       2.073380624808e-04       2.080142888077e-04 
       5.506624662346e-04      -2.457524592715e+00      -2.250601585969e+00      -2.250670225945e+00      -2.443281999355e+00      -2.241545206322e+00      -2.250790187685e+00       6.992762279426e-05       2.374001569470e-04       2.374215169491e-04       6.534940060865e-05       2.363367341380e-04       2.372216677504e-04 
       5.882482760070e-04      -2.509570662901e+00      -2.395991758127e+00      -2.396079188500e+00      -2.491975191891e+00      -2.384042970172e+00      -2.396102658185e+00       6.327546344471e-05       2.708067412762e-04       2.708337417946e-04       5.778369414073e-05       2.694267679408e-04       2.705857858783e-04 
       6.284991279767e-04      -2.555572173704e+00      -2.562203125044e+00      -2.562314220305e+00      -2.533985170335e+00      -2.546488528467e+00      -2.562213414497e+00       5.342236656167e-05       3.089959431187e-04       3.090299556494e-04       4.691669002056e-05       3.072048374026e-04       3.087241516181e-04 
       6.716134645583e-04      -2.592950270215e+00      -2.752271189573e+00      -2.752411958875e+00      -2.566678264799e+00      -2.731655174734e+00      -2.752152928479e+00       4.015441444902e-05       3.526645656486e-04       3.527072408399e-04       3.256197324619e-05       3.503395127633e-04       3.523326508688e-04 
       7.177850697867e-04      -2.619025745358e+00      -2.969582537532e+00      -2.969760311541e+00      -2.587349442068e+00      -2.942592457847e+00      -2.969302195467e+00       2.354913863018e-05       4.025898551235e-04       4.026431505328e-04       1.484675573365e-05       3.995717904423e-04       4.021878466807e-04 
       7.671972809633e-04      -2.631319997767e+00      -3.217872054475e+00      -3.218095661766e+00      -2.593540700396e+00      -3.182605346383e+00      -3.217390123403e+00       4.125331311402e-06       4.596288018375e-04       4.596949975588e-04      -5.632668189894e-06       4.557124754397e-04       4.591464340340e-04 
       8.200165604921e-04      -2.627986129791e+00      -3.501204474636e+00      -3.501484384642e+00      -2.583491357118e+00      -3.455215297831e+00      -3.500475348357e+00      -1.700742729502e-05       5.247138350669e-04       5.247955297640e-04      -2.765787171776e-05       5.196357076764e-04       5.241410842294e-04 
       8.763858154063e-04      -2.608346471727e+00      -3.823937825517e+00      -3.824286229069e+00      -2.556692812841e+00      -3.764101418339e+00      -3.822910018656e+00      -3.804530432328e-05       5.988443548662e-04       5.989444344850e-04      -4.928605003944e-05       5.922681453710e-04       5.981720696274e-04 
       9.364179846722e-04      -2.573460395465e+00      -4.190667774215e+00      -4.191098569992e+00      -2.514465749285e+00      -4.113021817057e+00      -4.189284490890e+00      -5.650152252526e-05       6.830738790567e-04       6.831954521700e-04      -6.787033957336e-05       6.745737044232e-04       6.822943702746e-04 
       1.000190494535e-03      -2.526581466725e+00      -4.606153896487e+00      -4.606682555976e+00      -2.460411328151e+00      -4.505717778689e+00      -4.604353846876e+00      -6.941442073210e-05       7.784930488163e-04       7.786393470188e-04      -8.028710965097e-05       7.675342696633e-04       7.776004162417e-04 
       1.067741176407e-03      -2.473305951634e+00      -5.075231206192e+00      -5.075874503456e+00      -2.400531370989e+00      -4.945806138811e+00      -5.072949416846e+00      -7.382094390638e-05       8.862092714888e-04       8.863835208285e-04      -8.343894363311e-05       8.721273713463e-04       8.851991728251e-04 
