# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       9.326212236469e+13       8.686922735382e-26       4.967660061084e-09       1.877283748367e+22       1.418607626259e+04       1.521097301123e-10       1.323023580277e+18       2.868235102943e-09       2.083142168447e+44       2.008188579139e+33       1.074042431090e+34       4.793408669147e+43       3.511370374088e-08       9.617112363920e+43       3.524194271882e+44       6.170079454325e-18       2.000000000005e+00 
       9.261382558559e+13       8.808965312891e-26       5.002220859751e-09       1.851275183316e+22       1.418607626259e+04       1.531744982231e-10       1.313826792728e+18       2.888312748664e-09       2.025820810155e+44       1.966600209956e+33       1.051799662853e+34       4.661509512224e+43       3.511370374088e-08       9.352480428614e+43       3.427219804363e+44       6.256762900579e-18       2.000000000004e+00 
       9.197003533823e+13       8.932722466572e-26       5.038600647822e-09       1.825626950292e+22       1.418607626259e+04       1.542467197106e-10       1.304693935181e+18       2.908530937904e-09       1.970076750890e+44       1.925873110709e+33       1.030017528874e+34       4.533239794976e+43       3.511370374088e-08       9.095130311232e+43       3.332913761633e+44       6.344664162570e-18       2.000000000003e+00 
       9.133072029615e+13       9.058218284505e-26       5.073161446489e-09       1.800334057124e+22       1.418607626259e+04       1.553264467486e-10       1.295624563239e+18       2.928890654470e-09       1.915866588467e+44       1.885989445021e+33       1.008686489696e+34       4.408499646920e+43       3.511370374088e-08       8.844861639614e+43       3.241202717240e+44       6.433800349390e-18       2.000000000002e+00 
       9.069584935070e+13       9.185477193183e-26       5.107722245157e-09       1.775391580805e+22       1.418607626259e+04       1.564137318758e-10       1.286618235590e+18       2.949392889051e-09       1.863148114988e+44       1.846931745893e+33       9.877972034213e+33       4.287191945688e+43       3.511370374088e-08       8.601479555197e+43       3.152015265194e+44       6.524188810498e-18       2.000000000001e+00 
       9.006539160943e+13       9.314523962270e-26       5.144102033228e-09       1.750794666535e+22       1.418607626259e+04       1.575086279990e-10       1.277674513992e+18       2.970038639274e-09       1.811880283983e+44       1.808682908058e+33       9.673405216129e+33       4.169222241406e+43       3.511370374088e-08       8.364794561298e+43       3.065281964369e+44       6.615847139097e-18       2.000000000000e+00 
       8.943931639467e+13       9.445383709416e-26       5.180481821299e-09       1.726538526773e+22       1.418607626259e+04       1.586111883950e-10       1.268792963249e+18       2.990828909749e-09       1.762023178446e+44       1.771226180488e+33       9.473074852949e+33       4.054498683158e+43       3.511370374088e-08       8.134622375570e+43       2.980935284431e+44       6.708793175554e-18       2.000000000000e+00 
       8.881759324197e+13       9.578081905149e-26       5.216861609370e-09       1.702618440305e+22       1.418607626259e+04       1.597214667137e-10       1.259973151191e+18       3.011764712117e-09       1.713537979758e+44       1.734545159061e+33       9.276893210258e+33       3.942931947467e+43       3.511370374088e-08       7.910783786525e+43       2.898909553268e+44       6.803045010878e-18       1.999999999999e+00 
       8.820019189868e+13       9.712644377834e-26       5.253241397440e-09       1.679029751329e+22       1.418607626259e+04       1.608395169807e-10       1.251214648650e+18       3.032847065102e-09       1.666386937466e+44       1.698623779370e+33       9.084774370566e+33       3.834435168750e+43       3.511370374088e-08       7.693104513996e+43       2.819140905848e+44       6.898620990235e-18       1.999999999998e+00 
       8.758708232243e+13       9.849097318698e-26       5.289621185511e-09       1.655767868544e+22       1.418607626259e+04       1.619653935996e-10       1.242517029444e+18       3.054076994557e-09       1.620533339885e+44       1.663446309697e+33       8.896634195684e+33       3.728923871688e+43       3.511370374088e-08       7.481415073443e+43       2.741567234503e+44       6.995539716527e-18       1.999999999997e+00 
