#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       2.177380108859e+02       6.562532097811e-04      -5.687511015667e-03      -4.912389841456e-08      -2.243702830291e-12       1.317180457930e-03       2.187454505936e-08       4.607955642214e-13       1.765690095446e-01      -1.578392123522e-03      -4.822859895991e-01      -1.626061449953e-02      -1.130424085736e-03 
       2.183134390326e+02       6.584812536548e-04      -5.747866652725e-03      -5.062837902237e-08      -2.361545058263e-12       1.337447616751e-03       2.280470828170e-08       4.968866868544e-13       1.756609427171e-01      -1.577746874271e-03      -4.837018484935e-01      -1.641044677100e-02      -1.147422501911e-03 
       2.188947081985e+02       6.607345567713e-04      -5.808921903546e-03      -5.219103843649e-08      -2.484904584842e-12       1.356791859285e-03       2.373332710718e-08       5.335999306817e-13       1.747440427899e-01      -1.577069261279e-03      -4.851260790493e-01      -1.656266563288e-02      -1.164799562118e-03 
       2.194820542795e+02       6.630141152964e-04      -5.870901337065e-03      -5.382033154826e-08      -2.614875242694e-12       1.375417037367e-03       2.466738034470e-08       5.711983948147e-13       1.738179648473e-01      -1.576358266175e-03      -4.865590262036e-01      -1.671736029627e-02      -1.182570518254e-03 
       2.200757104900e+02       6.653209201754e-04      -5.933990972941e-03      -5.552403130557e-08      -2.752536051454e-12       1.393499141013e-03       2.561329024056e-08       6.099572567459e-13       1.728823699082e-01      -1.575612826778e-03      -4.880010137175e-01      -1.687462097662e-02      -1.200751072005e-03 
       2.206759151642e+02       6.676559875554e-04      -5.998402569563e-03      -5.731025188472e-08      -2.899008074628e-12       1.411190624137e-03       2.657739051342e-08       6.501709686101e-13       1.719369127314e-01      -1.574831826689e-03      -4.894523626310e-01      -1.703454099571e-02      -1.219357633670e-03 
       2.212829424191e+02       6.700204785357e-04      -6.064521088136e-03      -5.919017431146e-08      -3.055611732803e-12       1.428628336341e-03       2.756715775544e-08       6.921854864754e-13       1.709811936792e-01      -1.574014051084e-03      -4.909134640774e-01      -1.719722510206e-02      -1.238408321678e-03 
       2.218971790634e+02       6.724160002878e-04      -6.133172415982e-03      -6.118374700547e-08      -3.224217533039e-12       1.445949443194e-03       2.859373697500e-08       7.364771303586e-13       1.700146379928e-01      -1.573158067921e-03      -4.923849604817e-01      -1.736281058983e-02      -1.257925515025e-03 
       2.225192294144e+02       6.748450185094e-04      -6.205146203689e-03      -6.331581611116e-08      -3.407154286481e-12       1.463311232620e-03       2.966987317201e-08       7.836315710676e-13       1.690363316308e-01      -1.572262046169e-03      -4.938679875993e-01      -1.753149676211e-02      -1.277939501098e-03 
       2.231496002576e+02       6.773096305193e-04      -6.280679276963e-03      -6.560541962798e-08      -3.606677107935e-12       1.480862583234e-03       3.080494544908e-08       8.342139496764e-13       1.680455175037e-01      -1.571324179863e-03      -4.953634151035e-01      -1.770346057973e-02      -1.298478632774e-03 
       2.237887809398e+02       6.798118769402e-04      -6.360034137971e-03      -6.807211152866e-08      -3.825323404697e-12       1.498735029549e-03       3.200836253045e-08       8.888460619421e-13       1.670414695103e-01      -1.570342584360e-03      -4.968720395059e-01      -1.787887802974e-02      -1.319571843431e-03 
       2.244372991926e+02       6.823539605549e-04      -6.443523808530e-03      -7.073712716211e-08      -4.066005142622e-12       1.517049324407e-03       3.329026617103e-08       9.482266294767e-13       1.660234051077e-01      -1.569315208274e-03      -4.983947145529e-01      -1.805793955161e-02      -1.341250543023e-03 
