# Matter power spectrum P(k) at redshift z=2.34
# for k=1.04216e-05 to 1.08687 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345345382766e-02       3.541887001757e+03 
       1.358211887440e-02       3.547793812753e+03 
       1.371082020049e-02       3.553392472305e+03 
       1.383955791490e-02       3.558686793300e+03 
       1.396833214968e-02       3.563680761906e+03 
       1.409714305959e-02       3.568378267511e+03 
       1.422599082178e-02       3.572783050279e+03 
       1.435487563544e-02       3.576898969721e+03 
       1.448379772155e-02       3.580729767358e+03 
       1.461275732265e-02       3.584279098452e+03 
       1.474175470263e-02       3.587550633747e+03 
       1.487079014650e-02       3.590548072601e+03 
       1.499986396030e-02       3.593274934634e+03 
       1.512897647092e-02       3.595734744444e+03 
       1.525812802602e-02       3.597931082043e+03 
       1.536280307510e-02       3.599519817020e+03 
       1.538731899394e-02       3.599867408697e+03 
       1.551654976364e-02       3.601547147723e+03 
       1.564582074468e-02       3.602973679925e+03 
       1.577513236717e-02       3.604150405192e+03 
       1.590448508184e-02       3.605080718566e+03 
       1.603387935999e-02       3.605767839746e+03 
       1.616331569362e-02       3.606215092898e+03 
       1.629279459543e-02       3.606425692644e+03 
       1.642231659893e-02       3.606402853506e+03 
       1.655188225858e-02       3.606149799502e+03 
       1.668149214985e-02       3.605669702960e+03 
       1.681114686942e-02       3.604965665421e+03 
       1.694084703528e-02       3.604040794540e+03 
       1.707059328698e-02       3.602898165672e+03 
       1.720038628575e-02       3.601540839101e+03 
       1.733022671477e-02       3.599971847071e+03 
       1.746011527935e-02       3.598194208501e+03 
       1.759005270721e-02       3.596210939101e+03 
       1.772003974873e-02       3.594024983528e+03 
       1.785007717721e-02       3.591639275934e+03 
       1.798016578919e-02       3.589056794714e+03 
       1.811030640476e-02       3.586280403044e+03 
       1.824049986785e-02       3.583312983716e+03 
       1.837074704663e-02       3.580157443811e+03 
       1.850104883382e-02       3.576816611152e+03 
       1.863140614711e-02       3.573293326855e+03 
       1.876181992953e-02       3.569590417606e+03 
       1.889229114985e-02       3.565710699934e+03 
       1.902282080306e-02       3.561656904507e+03 
       1.915340991075e-02       3.557431887861e+03 
       1.928405952162e-02       3.553038365884e+03 
       1.941477071196e-02       3.548479067544e+03 
       1.954554458613e-02       3.543756716860e+03 
       1.967638227709e-02       3.538874056631e+03 
       1.980728494693e-02       3.533833738815e+03 
       1.993825378746e-02       3.528638453613e+03 
       2.006929002074e-02       3.523290879889e+03 
       2.020039489971e-02       3.517793631023e+03 
       2.033156970879e-02       3.512149320996e+03 
       2.046281576452e-02       3.506360609616e+03 
       2.059413441623e-02       3.500430038257e+03 
       2.072552704671e-02       3.494360169423e+03 
       2.085699507293e-02       3.488153594308e+03 
       2.098853994674e-02       3.481812807125e+03 
       2.112016315564e-02       3.475340312399e+03 
       2.125186622355e-02       3.468738578945e+03 
       2.138365071158e-02       3.462010088289e+03 
       2.151551821893e-02       3.455157289485e+03 
       2.164747038363e-02       3.448182510758e+03 
       2.177950888353e-02       3.441088247596e+03 
       2.191163543710e-02       3.433876793180e+03 
       2.204385180446e-02       3.426550533237e+03 
       2.217615978826e-02       3.419111717195e+03 
       2.230856123471e-02       3.411562695309e+03 
       2.244105803461e-02       3.403905689458e+03 
       2.257365212440e-02       3.396142923271e+03 
       2.270634548721e-02       3.388276593285e+03 
       2.283914015404e-02       3.380308889460e+03 
       2.297203820489e-02       3.372241961029e+03 
       2.310504176993e-02       3.364077968477e+03 
       2.323815303079e-02       3.355818965241e+03 
       2.337137422175e-02       3.347467026350e+03 
       2.350470763113e-02       3.339024227232e+03 
       2.363815560259e-02       3.330492535826e+03 
       2.377172053653e-02       3.321874007112e+03 
       2.390540489156e-02       3.313170586716e+03 
       2.403921118595e-02       3.304384241400e+03 
       2.417314199916e-02       3.295516925768e+03 
       2.430719997345e-02       3.286570447275e+03 
       2.444138781549e-02       3.277546770169e+03 
       2.457570829807e-02       3.268447763808e+03 
       2.471016426180e-02       3.259275271911e+03 
       2.484475861694e-02       3.250031085645e+03 
       2.497949434524e-02       3.240716978769e+03 
       2.511437450189e-02       3.231334820148e+03 
       2.524940221745e-02       3.221886368166e+03 
       2.538458069993e-02       3.212373299989e+03 
       2.551991323691e-02       3.202797414754e+03 
       2.565540319772e-02       3.193160380531e+03 
       2.579105403567e-02       3.183463952556e+03 
       2.592686929048e-02       3.173709764740e+03 
       2.606285259059e-02       3.163899491549e+03 
       2.619900765574e-02       3.154034785028e+03 
       2.633533829953e-02       3.144117273899e+03 
       2.647184843212e-02       3.134148561977e+03 
       2.660854206297e-02       3.124130252596e+03 
       2.674542330376e-02       3.114063894496e+03 
       2.688249637133e-02       3.103951094891e+03 
       2.701976559079e-02       3.093793356732e+03 
       2.715723539871e-02       3.083592183144e+03 
       2.729491034641e-02       3.073349094819e+03 
       2.743279510342e-02       3.063065600816e+03 
       2.757089446101e-02       3.052743132811e+03 
       2.770921333594e-02       3.042383096243e+03 
       2.784775677420e-02       3.031986964463e+03 
       2.798652995507e-02       3.021556089304e+03 
       2.812553819521e-02       3.011091866705e+03 
       2.826478695292e-02       3.000595628719e+03 
       2.840428183264e-02       2.990068746069e+03 
       2.854402858953e-02       2.979512450983e+03 
       2.868403313429e-02       2.968928059074e+03 
       2.882430153814e-02       2.958316835747e+03 
       2.896484003803e-02       2.947680002241e+03 
       2.910565504201e-02       2.937018703087e+03 
       2.924675313489e-02       2.926334168999e+03 
       2.938814108404e-02       2.915627619725e+03 
       2.952982584548e-02       2.904900090466e+03 
       2.967181457025e-02       2.894152709313e+03 
       2.981411461098e-02       2.883386600730e+03 
       2.995673352879e-02       2.872602730653e+03 
       3.009967910044e-02       2.861802197463e+03 
       3.024295932583e-02       2.850986035585e+03 
       3.038658243576e-02       2.840155204184e+03 
       3.053055690013e-02       2.829310609116e+03 
       3.067489143641e-02       2.818453273402e+03 
       3.081959501849e-02       2.807584133992e+03 
       3.096467688597e-02       2.796704007743e+03 
       3.111014655389e-02       2.785813805528e+03 
       3.125601382279e-02       2.774914414706e+03 
       3.140228878936e-02       2.764006645984e+03 
       3.154898185749e-02       2.753091317041e+03 
       3.169610374991e-02       2.742169262862e+03 
       3.184366552032e-02       2.731241200892e+03 
       3.199167856616e-02       2.720307939377e+03 
       3.214015464190e-02       2.709370227571e+03 
       3.228910587309e-02       2.698428771842e+03 
       3.243854477102e-02       2.687484228425e+03 
       3.258848424813e-02       2.676537372818e+03 
       3.273893763420e-02       2.665588790029e+03 
       3.288991869335e-02       2.654639148492e+03 
       3.304144164193e-02       2.643689097751e+03 
       3.319352116728e-02       2.632739182121e+03 
       3.334617244750e-02       2.621790022300e+03 
       3.349941117231e-02       2.610842186511e+03 
       3.365325356492e-02       2.599896103412e+03 
       3.380771640518e-02       2.588952352999e+03 
       3.396281705389e-02       2.578011501527e+03 
       3.411857347851e-02       2.567073855329e+03 
       3.427500428033e-02       2.556139912093e+03 
       3.443212872304e-02       2.545210093343e+03 
       3.458996676307e-02       2.534284706601e+03 
       3.474853908157e-02       2.523364158317e+03 
       3.490786711831e-02       2.512448805428e+03 
       3.506797310751e-02       2.501538813829e+03 
       3.522888011587e-02       2.490634539356e+03 
       3.539061208285e-02       2.479736249756e+03 
       3.555319386338e-02       2.468844068023e+03 
       3.571665127327e-02       2.457958215163e+03 
       3.588101113735e-02       2.447078860850e+03 
       3.604630134077e-02       2.436206078737e+03 
       3.621255088345e-02       2.425340007349e+03 
       3.637978993817e-02       2.414480768674e+03 
       3.654804991238e-02       2.403628277390e+03 
       3.671736351414e-02       2.392782615012e+03 
       3.688776482253e-02       2.381943825302e+03 
       3.705928936276e-02       2.371111780822e+03 
       3.723197418660e-02       2.360286452974e+03 
       3.740585795829e-02       2.349467755252e+03 
       3.758098104665e-02       2.338655526801e+03 
       3.775738562376e-02       2.327849614180e+03 
       3.793511577081e-02       2.317049864435e+03 
       3.811421759188e-02       2.306256027652e+03 
       3.829473933609e-02       2.295467818318e+03 
       3.847673152919e-02       2.284684984657e+03 
       3.866024711519e-02       2.273907183929e+03 
       3.884534160920e-02       2.263134016680e+03 
       3.903207326230e-02       2.252365056845e+03 
       3.922050323983e-02       2.241599887284e+03 
       3.941069581424e-02       2.230837941231e+03 
       3.960271857402e-02       2.220078690703e+03 
       3.979664265033e-02       2.209321531449e+03 
       3.999254296308e-02       2.198565740965e+03 
       4.019049848858e-02       2.187810629095e+03 
       4.039059255096e-02       2.177055428292e+03 
       4.059291313992e-02       2.166299252373e+03 
       4.079755325774e-02       2.155541200437e+03 
       4.100461129875e-02       2.144780299270e+03 
       4.121419146494e-02       2.134015548095e+03 
       4.142640422191e-02       2.123245765369e+03 
       4.164136679983e-02       2.112469768336e+03 
       4.185920374481e-02       2.101686323121e+03 
       4.208004752685e-02       2.090894081573e+03 
       4.230403921128e-02       2.080091571571e+03 
       4.253132920179e-02       2.069277268485e+03 
       4.276207806430e-02       2.058449529254e+03 
       4.299645744211e-02       2.047606637830e+03 
       4.323465107487e-02       2.036746715469e+03 
       4.347685593518e-02       2.025867746871e+03 
       4.372328349961e-02       2.014967578265e+03 
       4.397416117308e-02       2.004043952943e+03 
       4.422973388908e-02       1.993094387598e+03 
       4.449026591178e-02       1.982116217037e+03 
       4.475604287094e-02       1.971106574639e+03 
       4.502737406580e-02       1.960062355948e+03 
       4.530459508077e-02       1.948980211246e+03 
       4.558807076398e-02       1.937856529910e+03 
       4.587819862903e-02       1.926687396475e+03 
       4.617541275267e-02       1.915468563062e+03 
       4.648018825523e-02       1.904195417864e+03 
       4.679304646854e-02       1.892862941018e+03 
       4.711456091819e-02       1.881465637401e+03 
       4.744536427410e-02       1.869997509758e+03 
       4.778615645717e-02       1.858451958837e+03 
       4.813771413232e-02       1.846821691981e+03 
       4.850090187100e-02       1.835098593310e+03 
       4.887668533343e-02       1.823273651031e+03 
       4.926614690486e-02       1.811336668934e+03 
       4.967050432777e-02       1.799276190136e+03 
       5.009113300758e-02       1.787079210438e+03 
       5.052959284337e-02       1.774730884276e+03 
       5.098766065611e-02       1.762214168929e+03 
       5.146736956855e-02       1.749509297250e+03 
       5.197105704839e-02       1.736593318593e+03 
       5.250142377568e-02       1.723439183449e+03 
       5.306160605264e-02       1.710014636718e+03 
       5.365526514658e-02       1.696280900637e+03 
       5.428669772987e-02       1.682190593326e+03 
       5.496097238797e-02       1.667685176595e+03 
       5.568409782905e-02       1.652691528695e+03 
       5.646322853493e-02       1.637117161395e+03 
       5.730691228227e-02       1.620843501801e+03 
       5.822537951507e-02       1.603716180033e+03 
       5.923086372352e-02       1.585531461527e+03 
       6.033791905352e-02       1.566018046167e+03 
       6.156365726558e-02       1.544813262330e+03 
       6.292774942956e-02       1.521433444840e+03 
       6.445192243826e-02       1.495240487002e+03 
       6.615855154428e-02       1.465420326892e+03 
       6.806791657765e-02       1.430999384846e+03 
       7.019399418323e-02       1.390936254297e+03 
       7.253956844789e-02       1.344341824867e+03 
       7.509274536629e-02       1.290808823030e+03 
       7.782740217666e-02       1.230749673504e+03 
       8.070829645898e-02       1.165549292639e+03 
       8.369846225351e-02       1.097423374868e+03 
       8.676528575935e-02       1.029031268611e+03 
       8.988335805079e-02       9.630177299591e+02 
       9.303454043600e-02       9.016360559890e+02 
       9.620662847125e-02       8.465179104308e+02 
       9.939172248960e-02       7.985880245540e+02 
       1.025848338634e-01       7.580892302333e+02 
       1.057828604996e-01       7.246752966043e+02 
       1.089838916422e-01       6.975351560559e+02 
       1.121867571010e-01       6.755271300589e+02 
       1.153907426586e-01       6.573116677471e+02 
       1.185954132250e-01       6.414801609032e+02 
       1.218005039880e-01       6.266790528387e+02 
       1.250058537987e-01       6.117256234681e+02 
       1.282113645438e-01       5.957061849003e+02 
       1.314169764193e-01       5.780440003132e+02 
       1.346226528997e-01       5.585254683476e+02 
       1.378283716069e-01       5.372811279624e+02 
       1.410341187660e-01       5.147255412233e+02 
       1.442398858380e-01       4.914690437009e+02 
       1.474456674757e-01       4.682173261093e+02 
       1.506514602818e-01       4.456754063401e+02 
       1.538572620540e-01       4.244673750867e+02 
       1.570630713262e-01       4.050787082806e+02 
       1.602688870890e-01       3.878232344102e+02 
       1.634747086190e-01       3.728332031920e+02 
       1.666805353747e-01       3.600683245451e+02 
       1.698863669322e-01       3.493388606160e+02 
       1.730922029463e-01       3.403381905295e+02 
       1.762980431253e-01       3.326807000763e+02 
       1.795038872159e-01       3.259415282048e+02 
       1.827097349933e-01       3.197173532172e+02 
       1.859155862547e-01       3.136697474383e+02 
       1.891214408152e-01       3.073859876166e+02 
       1.923272985044e-01       3.006226722826e+02 
       1.955331591650e-01       2.932461946155e+02 
       1.987390226506e-01       2.852377079178e+02 
       2.019448888247e-01       2.766827431160e+02 
       2.051507575598e-01       2.677472400140e+02 
       2.083566287364e-01       2.586452363559e+02 
       2.115625022425e-01       2.496050984691e+02 
       2.147683779730e-01       2.408410397627e+02 
       2.179742558288e-01       2.325334143475e+02 
       2.211801357169e-01       2.248180653000e+02 
       2.243860175495e-01       2.177824543750e+02 
       2.275919012438e-01       2.114656810085e+02 
       2.307977867218e-01       2.058604132382e+02 
       2.340036739095e-01       2.009163791196e+02 
       2.372095627373e-01       1.965460632089e+02 
       2.404154531391e-01       1.926334955817e+02 
       2.436213450523e-01       1.890461685979e+02 
       2.468272384176e-01       1.856489461495e+02 
       2.500331331789e-01       1.823176501991e+02 
       2.532390292828e-01       1.789500871211e+02 
       2.564449266786e-01       1.754729429977e+02 
       2.596508253181e-01       1.718442940655e+02 
       2.628567251557e-01       1.680525859784e+02 
       2.660626261477e-01       1.641133995134e+02 
       2.692685282527e-01       1.600649735634e+02 
       2.724744314311e-01       1.559627814737e+02 
       2.756803356453e-01       1.518731823526e+02 
       2.788862408593e-01       1.478660510930e+02 
       2.820921470389e-01       1.440068066694e+02 
       2.852980541514e-01       1.403490925623e+02 
       2.885039621654e-01       1.369294898113e+02 
       2.917098710511e-01       1.337649449203e+02 
       2.949157807799e-01       1.308535459641e+02 
       2.981216913244e-01       1.281776340331e+02 
       3.013276026585e-01       1.257080775736e+02 
       3.045335147572e-01       1.234087725636e+02 
       3.077394275963e-01       1.212401738040e+02 
       3.109453411529e-01       1.191623227006e+02 
       3.141512554049e-01       1.171371245923e+02 
       3.173571703312e-01       1.151309018791e+02 
       3.205630859113e-01       1.131167644285e+02 
       3.237690021258e-01       1.110769077623e+02 
       3.269749189559e-01       1.090038481997e+02 
       3.301808363836e-01       1.069002644633e+02 
       3.333867543916e-01       1.047774085028e+02 
