# Matter power spectrum P(k) at redshift z=0
# for k=1.04216e-05 to 1.08687 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345345382766e-02       2.482226213180e+04 
       1.358211887440e-02       2.486328671111e+04 
       1.371082020049e-02       2.490215015955e+04 
       1.383955791490e-02       2.493887918857e+04 
       1.396833214968e-02       2.497350173000e+04 
       1.409714305959e-02       2.500604503574e+04 
       1.422599082178e-02       2.503653530724e+04 
       1.435487563544e-02       2.506499959109e+04 
       1.448379772155e-02       2.509146410975e+04 
       1.461275732265e-02       2.511595448542e+04 
       1.474175470263e-02       2.513849646250e+04 
       1.487079014650e-02       2.515911599835e+04 
       1.499986396030e-02       2.517783780145e+04 
       1.512897647092e-02       2.519468663131e+04 
       1.525812802602e-02       2.520968765569e+04 
       1.536280307510e-02       2.522050381535e+04 
       1.538731899394e-02       2.522286522560e+04 
       1.551654976364e-02       2.523424344299e+04 
       1.564582074468e-02       2.524384613016e+04 
       1.577513236717e-02       2.525169726373e+04 
       1.590448508184e-02       2.525782080251e+04 
       1.603387935999e-02       2.526223949250e+04 
       1.616331569362e-02       2.526497682947e+04 
       1.629279459543e-02       2.526605555749e+04 
       1.642231659893e-02       2.526549843477e+04 
       1.655188225858e-02       2.526332830026e+04 
       1.668149214985e-02       2.525956764305e+04 
       1.681114686942e-02       2.525423846667e+04 
       1.694084703528e-02       2.524736282740e+04 
       1.707059328698e-02       2.523896256410e+04 
       1.720038628575e-02       2.522905941588e+04 
       1.733022671477e-02       2.521767493101e+04 
       1.746011527935e-02       2.520483056622e+04 
       1.759005270721e-02       2.519054775838e+04 
       1.772003974873e-02       2.517484744278e+04 
       1.785007717721e-02       2.515775047953e+04 
       1.798016578919e-02       2.513927803285e+04 
       1.811030640476e-02       2.511945045134e+04 
       1.824049986785e-02       2.509828821068e+04 
       1.837074704663e-02       2.507581194521e+04 
       1.850104883382e-02       2.505204171817e+04 
       1.863140614711e-02       2.502699767002e+04 
       1.876181992953e-02       2.500069982029e+04 
       1.889229114985e-02       2.497316809582e+04 
       1.902282080306e-02       2.494442179894e+04 
       1.915340991075e-02       2.491448108987e+04 
       1.928405952162e-02       2.488336511565e+04 
       1.941477071196e-02       2.485109308718e+04 
       1.954554458613e-02       2.481768415274e+04 
       1.967638227709e-02       2.478315756201e+04 
       1.980728494693e-02       2.474753189872e+04 
       1.993825378746e-02       2.471082598340e+04 
       2.006929002074e-02       2.467305852924e+04 
       2.020039489971e-02       2.463424775976e+04 
       2.033156970879e-02       2.459441187604e+04 
       2.046281576452e-02       2.455356937372e+04 
       2.059413441623e-02       2.451173789256e+04 
       2.072552704671e-02       2.446893520011e+04 
       2.085699507293e-02       2.442517924323e+04 
       2.098853994674e-02       2.438048727294e+04 
       2.112016315564e-02       2.433487659788e+04 
       2.125186622355e-02       2.428836426647e+04 
       2.138365071158e-02       2.424096740820e+04 
       2.151551821893e-02       2.419270292210e+04 
       2.164747038363e-02       2.414358685935e+04 
       2.177950888353e-02       2.409363644804e+04 
       2.191163543710e-02       2.404286750490e+04 
       2.204385180446e-02       2.399129650647e+04 
       2.217615978826e-02       2.393893898749e+04 
       2.230856123471e-02       2.388581120709e+04 
       2.244105803461e-02       2.383192854389e+04 
       2.257365212440e-02       2.377730641130e+04 
       2.270634548721e-02       2.372196005736e+04 
       2.283914015404e-02       2.366590471041e+04 
       2.297203820489e-02       2.360915534080e+04 
       2.310504176993e-02       2.355172702601e+04 
       2.323815303079e-02       2.349363412189e+04 
       2.337137422175e-02       2.343489116450e+04 
       2.350470763113e-02       2.337551272006e+04 
       2.363815560259e-02       2.331551262947e+04 
       2.377172053653e-02       2.325490536921e+04 
       2.390540489156e-02       2.319370467362e+04 
       2.403921118595e-02       2.313192444660e+04 
       2.417314199916e-02       2.306957852590e+04 
       2.430719997345e-02       2.300667973535e+04 
       2.444138781549e-02       2.294324201083e+04 
       2.457570829807e-02       2.287927863394e+04 
       2.471016426180e-02       2.281480271394e+04 
       2.484475861694e-02       2.274982699498e+04 
       2.497949434524e-02       2.268436409986e+04 
       2.511437450189e-02       2.261842731553e+04 
       2.524940221745e-02       2.255202914786e+04 
       2.538458069993e-02       2.248518152467e+04 
       2.551991323691e-02       2.241789721550e+04 
       2.565540319772e-02       2.235018805707e+04 
       2.579105403567e-02       2.228206647946e+04 
       2.592686929048e-02       2.221354404290e+04 
       2.606285259059e-02       2.214463257033e+04 
       2.619900765574e-02       2.207534370470e+04 
       2.633533829953e-02       2.200568890216e+04 
       2.647184843212e-02       2.193567942000e+04 
       2.660854206297e-02       2.186532648658e+04 
       2.674542330376e-02       2.179464092432e+04 
       2.688249637133e-02       2.172363394134e+04 
       2.701976559079e-02       2.165231599300e+04 
       2.715723539871e-02       2.158069751345e+04 
       2.729491034641e-02       2.150878904158e+04 
       2.743279510342e-02       2.143660101738e+04 
       2.757089446101e-02       2.136414332340e+04 
       2.770921333594e-02       2.129142564639e+04 
       2.784775677420e-02       2.121845813988e+04 
       2.798652995507e-02       2.114525010032e+04 
       2.812553819521e-02       2.107181112950e+04 
       2.826478695292e-02       2.099815038251e+04 
       2.840428183264e-02       2.092427728928e+04 
       2.854402858953e-02       2.085020031562e+04 
       2.868403313429e-02       2.077592852186e+04 
       2.882430153814e-02       2.070147062883e+04 
       2.896484003803e-02       2.062683506351e+04 
       2.910565504201e-02       2.055202973293e+04 
       2.924675313489e-02       2.047706316657e+04 
       2.938814108404e-02       2.040194383861e+04 
       2.952982584548e-02       2.032667895132e+04 
       2.967181457025e-02       2.025127637996e+04 
       2.981411461098e-02       2.017574399676e+04 
       2.995673352879e-02       2.010008858447e+04 
       3.009967910044e-02       2.002431787397e+04 
       3.024295932583e-02       1.994843916726e+04 
       3.038658243576e-02       1.987245925547e+04 
       3.053055690013e-02       1.979638457069e+04 
       3.067489143641e-02       1.972022237663e+04 
       3.081959501849e-02       1.964397934303e+04 
       3.096467688597e-02       1.956766130199e+04 
       3.111014655389e-02       1.949127474601e+04 
       3.125601382279e-02       1.941482600079e+04 
       3.140228878936e-02       1.933832084802e+04 
       3.154898185749e-02       1.926176510909e+04 
       3.169610374991e-02       1.918516471455e+04 
       3.184366552032e-02       1.910852475544e+04 
       3.199167856616e-02       1.903185094068e+04 
       3.214015464190e-02       1.895514854681e+04 
       3.228910587309e-02       1.887842252822e+04 
       3.243854477102e-02       1.880167746601e+04 
       3.258848424813e-02       1.872491875565e+04 
       3.273893763420e-02       1.864815043538e+04 
       3.288991869335e-02       1.857137710860e+04 
