# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.748686249467e-10       9.641121160083e-15       1.969255245961e-13       5.385734403698e-16       7.922857534647e-11       5.976515049622e-12      -7.756428698647e-15 
   43       1.773537269293e-10       1.040158660553e-14       1.838968209940e-13       5.580952534258e-16       7.538011581297e-11       5.739101642441e-12      -7.763303095777e-15 
   44       1.798652895448e-10       1.119932151326e-14       1.692429864777e-13       5.776357005582e-16       7.178182800057e-11       5.515636361522e-12      -7.680366540593e-15 
   45       1.824092563516e-10       1.203470396383e-14       1.529267401690e-13       5.971703454437e-16       6.839800545007e-11       5.305612448056e-12      -7.485874744286e-15 
   46       1.849872190866e-10       1.290812349603e-14       1.349381018556e-13       6.166773694404e-16       6.522297767554e-11       5.108818059386e-12      -7.205853063461e-15 
   47       1.875972103396e-10       1.381992771815e-14       1.152798861427e-13       6.361356333164e-16       6.225275947844e-11       4.924648112490e-12      -6.885577786730e-15 
   48       1.902338299265e-10       1.477040040286e-14       9.396238994060e-14       6.555239427054e-16       5.947385946217e-11       4.751812387693e-12      -6.579048772297e-15 
   49       1.928879640773e-10       1.575975882204e-14       7.100369810329e-14       6.748210491733e-16       5.686257472453e-11       4.588285791394e-12      -6.349456800044e-15 
   50       1.955503995194e-10       1.678817030088e-14       4.642055580189e-14       6.940057766224e-16       5.439206867327e-11       4.431896162523e-12      -6.253050833680e-15 
   51       1.982244737163e-10       1.785581336039e-14       2.019735572562e-14       7.130574384802e-16       5.205750568717e-11       4.282391180413e-12      -6.284493074202e-15 
   52       2.009163729932e-10       1.896282856447e-14      -7.690738878517e-15       7.319555355952e-16       4.985651980729e-11       4.139846521792e-12      -6.417479000139e-15 
   53       2.036314425468e-10       2.010929903229e-14      -3.726923168684e-14       7.506796475960e-16       4.778169690770e-11       4.004058085247e-12      -6.619734680716e-15 
   54       2.063740889234e-10       2.129524867764e-14      -6.856443157921e-14       7.692094398558e-16       4.582023565257e-11       3.874522256013e-12      -6.852702947246e-15 
   55       2.091475921800e-10       2.252063307357e-14      -1.016010342414e-13       7.875257091035e-16       4.395781653975e-11       3.750633349212e-12      -7.079855138901e-15 
   56       2.119537111402e-10       2.378531342252e-14      -1.363938466512e-13       8.056138084768e-16       4.219211128791e-11       3.632378589172e-12      -7.294763255298e-15 
   57       2.147928092575e-10       2.508907303582e-14      -1.729542489855e-13       8.234610855253e-16       4.052203561095e-11       3.519781210122e-12      -7.499451833804e-15 
   58       2.176638374972e-10       2.643162213828e-14      -2.112926090081e-13       8.410559645100e-16       3.894366388515e-11       3.412687375754e-12      -7.696405119304e-15 
   59       2.205642332957e-10       2.781259582015e-14      -2.514183207385e-13       8.583879938353e-16       3.745005405766e-11       3.310754905507e-12      -7.888589296921e-15 
   60       2.234898195191e-10       2.923155198913e-14      -2.933398431218e-13       8.754478934801e-16       3.603107255508e-11       3.213442000861e-12      -8.079474724742e-15 
   61       2.264364547428e-10       3.068800425041e-14      -3.370620655229e-13       8.922269952093e-16       3.467618814630e-11       3.120171115651e-12      -8.271928053246e-15 
   62       2.294056455361e-10       3.218153380449e-14      -3.825776257109e-13       9.087153090741e-16       3.338398245613e-11       3.030889053861e-12      -8.464547694973e-15 
   63       2.324000203485e-10       3.371169914607e-14      -4.298737028538e-13       9.249031051095e-16       3.215447320078e-11       2.945613158537e-12      -8.654541520676e-15 
   64       2.354216447786e-10       3.527800243113e-14      -4.789344734957e-13       9.407815098655e-16       3.098625432011e-11       2.864261658237e-12      -8.838771034790e-15 
   65       2.384719761004e-10       3.687988853712e-14      -5.297410654082e-13       9.563425345712e-16       2.987641508887e-11       2.786647950495e-12      -9.013737750524e-15 
   66       2.415518177906e-10       3.851674412317e-14      -5.822715114420e-13       9.715791033002e-16       2.882045922786e-11       2.712474885307e-12      -9.175569564938e-15 
   67       2.446612740552e-10       4.018789669031e-14      -6.365007033785e-13       9.864850811351e-16       2.781222401519e-11       2.641329048603e-12      -9.320007134031e-15 
   68       2.478002286730e-10       4.189258129526e-14      -6.924019342328e-13       1.001054921636e-15       2.684551546958e-11       2.572794595442e-12      -9.443119372316e-15 
   69       2.509699958415e-10       4.362983496051e-14      -7.499519912144e-13       1.015282463338e-15       2.591957945958e-11       2.506834312006e-12      -9.543648760084e-15 
   70       2.541719236828e-10       4.539857908235e-14      -8.091270165726e-13       1.029161938870e-15       2.503459896663e-11       2.443475852155e-12      -9.621118964204e-15 
   71       2.574068680354e-10       4.719764814890e-14      -8.699010050293e-13       1.042688352170e-15       2.419003976429e-11       2.382696408176e-12      -9.675152693692e-15 
   72       2.606751603906e-10       4.902578797298e-14      -9.322457982556e-13       1.055857496915e-15       2.338461341886e-11       2.324420051800e-12      -9.705476722476e-15 
   73       2.639765758288e-10       5.088165392513e-14      -9.961310793486e-13       1.068665974949e-15       2.261624028985e-11       2.268515075216e-12      -9.711926912171e-15 
   74       2.673103009565e-10       5.276380916647e-14      -1.061524367309e-12       1.081111214710e-15       2.188201253052e-11       2.214791332079e-12      -9.694453234848e-15 
   75       2.706749018424e-10       5.467072288171e-14      -1.128391011516e-12       1.093191489661e-15       2.117815708836e-11       2.162997578529e-12      -9.653124795797e-15 
   76       2.740689574119e-10       5.660085090498e-14      -1.196695173927e-12       1.104905581461e-15       2.050096693920e-11       2.112886962377e-12      -9.588597912479e-15 
   77       2.774931638542e-10       5.855289847759e-14      -1.266402994644e-12       1.116251657835e-15       1.984987262687e-11       2.064433155617e-12      -9.503607791322e-15 
   78       2.809485574938e-10       6.052560241762e-14      -1.337479996253e-12       1.127228222607e-15       1.922486621525e-11       2.017648986989e-12      -9.401759254521e-15 
   79       2.844358652570e-10       6.251765290148e-14      -1.409890161804e-12       1.137834463769e-15       1.862556587666e-11       1.972520549131e-12      -9.287102098578e-15 
   80       2.879554862540e-10       6.452769338637e-14      -1.483595949542e-12       1.148070264620e-15       1.805119874680e-11       1.929005937022e-12      -9.164145612418e-15 
   81       2.915074733613e-10       6.655432053275e-14      -1.558558307641e-12       1.157936214915e-15       1.750058377963e-11       1.887033986429e-12      -9.037873095502e-15 
   82       2.950915148037e-10       6.859608412679e-14      -1.634736688931e-12       1.167433622003e-15       1.697211460235e-11       1.846503012358e-12      -8.913756375933e-15 
   83       2.987069157369e-10       7.065148700290e-14      -1.712089065633e-12       1.176564521977e-15       1.646374237033e-11       1.807279547495e-12      -8.797770328571e-15 
   84       3.023529726672e-10       7.271897386400e-14      -1.790570885129e-12       1.185331496251e-15       1.597347079897e-11       1.769232482992e-12      -8.694994121882e-15 
   85       3.060302083735e-10       7.479689578290e-14      -1.870131706117e-12       1.193737061981e-15       1.550097310709e-11       1.732344757211e-12      -8.605116727738e-15 
   86       3.097393088933e-10       7.688353964651e-14      -1.950718029217e-12       1.201784200555e-15       1.504621294020e-11       1.696617955700e-12      -8.526209474288e-15 
   87       3.134807372455e-10       7.897713847454e-14      -2.032274303328e-12       1.209476550918e-15       1.460894761547e-11       1.662037898381e-12      -8.456063971863e-15 
   88       3.172547216158e-10       8.107587115536e-14      -2.114742922557e-12       1.216818417453e-15       1.418871958470e-11       1.628573972989e-12      -8.392182878627e-15 
   89       3.210612435404e-10       8.317786218188e-14      -2.198064223158e-12       1.223814777848e-15       1.378484789723e-11       1.596178468520e-12      -8.331770666235e-15 
   90       3.249000260913e-10       8.528118138747e-14      -2.282176480459e-12       1.230471290976e-15       1.339641966293e-11       1.564785908675e-12      -8.271724385482e-15 
   91       3.287705220604e-10       8.738384368179e-14      -2.367015905800e-12       1.236794304762e-15       1.302228151510e-11       1.534312385305e-12      -8.208624431955e-15 
   92       3.326719021445e-10       8.948380878671e-14      -2.452516643465e-12       1.242790864063e-15       1.266103107349e-11       1.504654891852e-12      -8.138725311691e-15 
   93       3.366033440048e-10       9.157903875068e-14      -2.538612445755e-12       1.248468342115e-15       1.231134806485e-11       1.475717960514e-12      -8.058871984196e-15 
   94       3.405649748418e-10       9.366768096050e-14      -2.625241993067e-12       1.253833254386e-15       1.197306319466e-11       1.447499604259e-12      -7.969426599316e-15 
   95       3.445570493979e-10       9.574791229430e-14      -2.712344372008e-12       1.258892280055e-15       1.164623499768e-11       1.420017128244e-12      -7.871766916607e-15 
   96       3.485796541312e-10       9.781788431745e-14      -2.799857488250e-12       1.263652625210e-15       1.133082068146e-11       1.393280689949e-12      -7.767403373385e-15 
   97       3.526326995300e-10       9.987572381159e-14      -2.887718086498e-12       1.268122025550e-15       1.102667225169e-11       1.367293007414e-12      -7.657982555625e-15 
   98       3.567159124276e-10       1.019195333036e-13      -2.975861770460e-12       1.272308749099e-15       1.073353263762e-11       1.342049067478e-12      -7.545290668867e-15 
   99       3.608288283169e-10       1.039473915945e-13      -3.064223022816e-12       1.276221598906e-15       1.045103181738e-11       1.317535834016e-12      -7.431257009114e-15 
  100       3.649707836651e-10       1.059573542888e-13      -3.152735225183e-12       1.279869915756e-15       1.017868294341e-11       1.293731956176e-12      -7.317957433737e-15 
