# Matter power spectrum P(k) at redshift z=2.34
# for k=1.01561e-05 to 1.05973 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.299442931821e-02       3.686797296507e+03 
       1.311974787178e-02       3.692571207973e+03 
       1.324510238263e-02       3.698024401041e+03 
       1.337049291679e-02       3.703161278215e+03 
       1.349591956383e-02       3.707986119644e+03 
       1.362138243640e-02       3.712503382944e+03 
       1.374688166988e-02       3.716717226118e+03 
       1.387241742201e-02       3.720631934028e+03 
       1.399798987254e-02       3.724251758254e+03 
       1.412359922300e-02       3.727580767059e+03 
       1.424924569640e-02       3.730623091799e+03 
       1.437492953702e-02       3.733382840165e+03 
       1.450065101021e-02       3.735864005187e+03 
       1.462641040223e-02       3.738070502618e+03 
       1.475220802008e-02       3.740006320834e+03 
       1.487804419142e-02       3.741675338563e+03 
       1.495380630307e-02       3.742552864226e+03 
       1.500391926443e-02       3.743081325106e+03 
       1.512983360778e-02       3.744228085557e+03 
       1.525578761057e-02       3.745119340778e+03 
       1.538178168229e-02       3.745758813060e+03 
       1.550781625283e-02       3.746150123627e+03 
       1.563389177249e-02       3.746296790805e+03 
       1.576000871201e-02       3.746202394080e+03 
       1.588616756264e-02       3.745870416158e+03 
       1.601236883621e-02       3.745304288930e+03 
       1.613861306520e-02       3.744507423704e+03 
       1.626490080288e-02       3.743483135029e+03 
       1.639123262343e-02       3.742234715994e+03 
       1.651760912209e-02       3.740765435417e+03 
       1.664403091531e-02       3.739078462065e+03 
       1.677049864094e-02       3.737177024383e+03 
       1.689701295844e-02       3.735064178108e+03 
       1.702357454905e-02       3.732743084622e+03 
       1.715018411610e-02       3.730216740790e+03 
       1.727684238519e-02       3.727488178395e+03 
       1.740355010446e-02       3.724560336177e+03 
       1.753030804492e-02       3.721436200775e+03 
       1.765711700069e-02       3.718118629122e+03 
       1.778397778935e-02       3.714610528362e+03 
       1.791089125226e-02       3.710914748765e+03 
       1.803785825490e-02       3.707034111576e+03 
       1.816487968725e-02       3.702971392841e+03 
       1.829195646414e-02       3.698729370983e+03 
       1.841908952570e-02       3.694310818605e+03 
       1.854627983771e-02       3.689718404300e+03 
       1.867352839208e-02       3.684954893887e+03 
       1.880083620728e-02       3.680022942981e+03 
       1.892820432880e-02       3.674925224808e+03 
       1.905563382967e-02       3.669664360324e+03 
       1.918312581089e-02       3.664243043382e+03 
       1.931068140205e-02       3.658663813570e+03 
       1.943830176179e-02       3.652929341503e+03 
       1.956598807838e-02       3.647042194924e+03 
       1.969374157034e-02       3.641004963047e+03 
       1.982156348698e-02       3.634820168657e+03 
       1.994945510906e-02       3.628490426319e+03 
       2.007741774940e-02       3.622018248058e+03 
       2.020545275357e-02       3.615406166485e+03 
       2.033356150058e-02       3.608656736551e+03 
       2.046174540354e-02       3.601772455268e+03 
       2.059000591042e-02       3.594755853430e+03 
       2.071834450483e-02       3.587609379807e+03 
       2.084676270673e-02       3.580335570081e+03 
       2.097526207329e-02       3.572936888945e+03 
       2.110384419969e-02       3.565415752943e+03 
       2.123251071999e-02       3.557774686084e+03 
       2.136126330799e-02       3.550016089163e+03 
       2.149010367814e-02       3.542142415480e+03 
       2.161903358651e-02       3.534156070485e+03 
       2.174805483169e-02       3.526059494285e+03 
       2.187716925587e-02       3.517855037408e+03 
       2.200637874581e-02       3.509545088547e+03 
       2.213568523390e-02       3.501131990365e+03 
       2.226509069929e-02       3.492618095861e+03 
       2.239459716898e-02       3.484005681342e+03 
       2.252420671901e-02       3.475297107942e+03 
       2.265392147564e-02       3.466494597362e+03 
       2.278374361660e-02       3.457600415902e+03 
       2.291367537238e-02       3.448616808583e+03 
       2.304371902750e-02       3.439545914798e+03 
       2.317387692193e-02       3.430389922656e+03 
       2.330415145244e-02       3.421150975610e+03 
       2.343454507408e-02       3.411831181269e+03 
       2.356506030168e-02       3.402432651320e+03 
       2.369569971136e-02       3.392957316541e+03 
       2.382646594214e-02       3.383407287259e+03 
       2.395736169759e-02       3.373784509257e+03 
       2.408838974751e-02       3.364090966245e+03 
       2.421955292973e-02       3.354328494195e+03 
       2.435085415184e-02       3.344498973500e+03 
       2.448229639314e-02       3.334604278206e+03 
       2.461388270652e-02       3.324646217369e+03 
       2.474561622050e-02       3.314626508408e+03 
       2.487750014126e-02       3.304546950799e+03 
