# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:lum. dist.gw           9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)rho_ncdm[0]        14:(.)rho_ur             15:(.)rho_crit           16:U                     17:U_prime               18:V                     19:V_prime               20:gr.fac. D             21:gr.fac. f          
       9.326212236469e+13       8.686918978671e-26       4.967660061084e-09       1.877284560209e+22       1.416938464322e+04       1.519307547796e-10       1.321466884428e+18       1.321466884428e+18       2.868233862558e-09       2.083142168447e+44       2.004578352480e+33       1.080360327744e+34       1.438022600744e+44       3.032550681460e+41       3.524197320001e+44       2.474935049715e-13       1.428938501567e-03       1.351830536182e-68       1.621912659805e-58       6.170074117752e-18       2.000000000005e+00 
       9.261382558559e+13       8.808961503402e-26       5.002220859751e-09       1.851275983912e+22       1.416938464322e+04       1.529942700631e-10       1.312280918002e+18       1.312280918002e+18       2.888311499596e-09       2.025820810155e+44       1.963064748904e+33       1.057986719693e+34       1.398452853667e+44       2.949104660932e+41       3.427222768608e+44       2.994927448005e-13       1.561170001146e-03       2.010736361812e-68       2.186413179846e-58       6.256757489032e-18       2.000000000004e+00 
       9.197003533823e+13       8.932718603563e-26       5.038600647822e-09       1.825627739796e+22       1.416938464322e+04       1.540652299535e-10       1.303158806357e+18       1.303158806357e+18       2.908529680093e-09       1.970076750890e+44       1.922410866914e+33       1.036076455514e+34       1.359971938493e+44       2.867954805933e+41       3.332916644311e+44       3.564544818907e-13       1.691572118292e-03       2.893277481391e-68       2.875050253936e-58       6.344658674996e-18       2.000000000003e+00 
       9.133072029615e+13       9.058214367224e-26       5.073161446489e-09       1.800334835689e+22       1.416938464322e+04       1.551436865632e-10       1.294100105618e+18       1.294100105618e+18       2.928889387853e-09       1.915866588467e+44       1.882598902198e+33       1.014619939636e+34       1.322549894076e+44       2.789037933389e+41       3.241205520596e+44       4.183814561827e-13       1.820167688216e-03       4.048906789304e-68       3.702542134140e-58       6.433794784721e-18       2.000000000002e+00 
       9.069584935070e+13       9.185473220869e-26       5.107722245157e-09       1.775392348584e+22       1.416938464322e+04       1.562296923691e-10       1.285104374993e+18       1.285104374993e+18       2.949391613568e-09       1.863148114988e+44       1.843611419159e+33       9.936077752061e+33       1.286157583706e+44       2.712292598820e+41       3.152017991411e+44       4.852767188640e-13       1.946981149529e-03       5.533428673418e-68       4.684281087175e-58       6.524183167651e-18       2.000000000001e+00 
       9.006539160943e+13       9.314519934149e-26       5.144102033228e-09       1.750795423677e+22       1.416938464322e+04       1.573233002157e-10       1.276171176756e+18       1.276171176756e+18       2.970037354863e-09       1.811880283983e+44       1.805431343279e+33       9.730307599754e+33       1.250766672422e+44       2.637659048501e+41       3.065284615569e+44       5.571435185426e-13       2.072036237061e-03       7.409408348046e-68       5.836359802315e-58       6.615841416974e-18       2.000000000000e+00 
       8.943931639467e+13       9.445379624704e-26       5.180481821299e-09       1.726539273425e+22       1.416938464322e+04       1.584245633172e-10       1.267300076222e+18       1.267300076222e+18       2.990827616347e-09       1.762023178446e+44       1.768041953647e+33       9.528798822673e+33       1.216349604947e+44       2.565079172934e+41       2.980937862679e+44       6.339852277094e-13       2.195358711996e-03       9.746602180442e-68       7.175598300406e-58       6.708787373041e-18       2.000000000000e+00 
       8.881759324197e+13       9.578077763051e-26       5.216861609370e-09       1.702619176613e+22       1.416938464322e+04       1.595335352604e-10       1.258490641730e+18       1.258490641730e+18       3.011763409661e-09       1.713537979758e+44       1.731426875629e+33       9.331463170318e+33       1.182879584240e+44       2.494496461611e+41       2.898912060571e+44       7.158057075898e-13       2.316974197472e-03       1.262240990597e-67       8.719572162595e-58       6.803039126845e-18       1.999999999999e+00 
       8.820019189868e+13       9.712640177544e-26       5.253241397440e-09       1.679030477436e+22       1.416938464322e+04       1.606502700073e-10       1.249742444618e+18       1.249742444618e+18       3.032845753529e-09       1.666386937466e+44       1.695570073700e+33       9.138214219804e+33       1.150330550625e+44       2.425855959008e+41       2.819143344158e+44       8.026089275100e-13       2.436904422430e-03       1.612234991435e-67       1.048664179726e-57       6.898615023538e-18       1.999999999998e+00 
       8.758708232243e+13       9.849093059398e-26       5.289621185511e-09       1.655768584591e+22       1.416938464322e+04       1.617748218973e-10       1.241055059203e+18       1.241055059203e+18       3.054075673804e-09       1.620533339885e+44       1.660455844421e+33       8.948967338012e+33       1.118677161506e+44       2.359104221801e+41       2.741569605719e+44       8.943990516542e-13       2.555170513649e-03       2.034055847549e-67       1.249598219302e-57       6.995533666003e-18       1.999999999997e+00 
