# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.747646321613e-10       9.571079808270e-15       1.971487136578e-13       4.679117138383e-16       7.922857534647e-11       5.976515049622e-12      -7.756428698647e-15 
   43       1.772456253821e-10       1.032825264746e-14       1.841350177405e-13       4.840260694754e-16       7.538011581297e-11       5.739101642441e-12      -7.763303095777e-15 
   44       1.797530449741e-10       1.112262768629e-14       1.694964825907e-13       5.000771342483e-16       7.178182800057e-11       5.515636361522e-12      -7.680366540593e-15 
   45       1.822928378306e-10       1.195458416645e-14       1.531957629167e-13       5.160404253498e-16       6.839800545007e-11       5.305612448056e-12      -7.485874744286e-15 
   46       1.848665977731e-10       1.282451296888e-14       1.352228081847e-13       5.318941486250e-16       6.522297767554e-11       5.108818059386e-12      -7.205853063461e-15 
   47       1.874723589768e-10       1.373276316224e-14       1.155803556924e-13       5.476172265735e-16       6.225275947844e-11       4.924648112490e-12      -6.885577786730e-15 
   48       1.901047226207e-10       1.467962007583e-14       9.427861748535e-14       5.631885517400e-16       5.947385946217e-11       4.751812387693e-12      -6.579048772297e-15 
   49       1.927545760641e-10       1.566530263737e-14       7.133558573298e-14       5.785869889532e-16       5.686257472453e-11       4.588285791394e-12      -6.349456800044e-15 
   50       1.954127068460e-10       1.668997994629e-14       4.676790677309e-14       5.937915019454e-16       5.439206867327e-11       4.431896162523e-12      -6.253050833680e-15 
   51       1.980824526765e-10       1.775383247367e-14       2.055987446665e-14       6.087815685332e-16       5.205750568717e-11       4.282391180413e-12      -6.284493074202e-15 
   52       2.007699997218e-10       1.885700287252e-14      -7.313451699136e-15       6.235368820035e-16       4.985651980729e-11       4.139846521792e-12      -6.417479000139e-15 
   53       2.034806926641e-10       1.999957647863e-14      -3.687768604555e-14       6.380372444822e-16       4.778169690770e-11       4.004058085247e-12      -6.619734680716e-15 
   54       2.062189371638e-10       2.118157955361e-14      -6.815925515374e-14       6.522625750268e-16       4.582023565257e-11       3.874522256013e-12      -6.852702947246e-15 
   55       2.089880123943e-10       2.240297011499e-14      -1.011829762296e-13       6.661939291766e-16       4.395781653975e-11       3.750633349212e-12      -7.079855138901e-15 
   56       2.117896775621e-10       2.366361178452e-14      -1.359637705434e-13       6.798168356624e-16       4.219211128791e-11       3.632378589172e-12      -7.294763255298e-15 
   57       2.146242967923e-10       2.496329036559e-14      -1.725131339391e-13       6.931188027811e-16       4.052203561095e-11       3.519781210122e-12      -7.499451833804e-15 
   58       2.174908216497e-10       2.630171868554e-14      -2.108415544275e-13       7.060884260275e-16       3.894366388515e-11       3.412687375754e-12      -7.696405119304e-15 
   59       2.203866900970e-10       2.767853454975e-14      -2.509585508937e-13       7.187154355934e-16       3.745005405766e-11       3.310754905507e-12      -7.888589296921e-15 
   60       2.233077254533e-10       2.909329869581e-14      -2.928727118050e-13       7.309907438674e-16       3.603107255508e-11       3.213442000861e-12      -8.079474724742e-15 
   61       2.262497872339e-10       3.054552755034e-14      -3.365890579336e-13       7.429058484872e-16       3.467618814630e-11       3.120171115651e-12      -8.271928053246e-15 
   62       2.292143852622e-10       3.203480471974e-14      -3.821003512136e-13       7.544507774600e-16       3.338398245613e-11       3.030889053861e-12      -8.464547694973e-15 
   63       2.322041521402e-10       3.356069100827e-14      -4.293938948725e-13       7.656157649923e-16       3.215447320078e-11       2.945613158537e-12      -8.654541520676e-15 
   64       2.352211580098e-10       3.512269090059e-14      -4.784539919884e-13       7.763918817523e-16       3.098625432011e-11       2.864261658237e-12      -8.838771034790e-15 
   65       2.382668650973e-10       3.672025162023e-14      -5.292618992904e-13       7.867710619216e-16       2.987641508887e-11       2.786647950495e-12      -9.013737750524e-15 
   66       2.413420822574e-10       3.835276218800e-14      -5.817957809589e-13       7.967461302476e-16       2.882045922786e-11       2.712474885307e-12      -9.175569564938e-15 
   67       2.444469195177e-10       4.001955248033e-14      -6.360306624271e-13       8.063108290945e-16       2.781222401519e-11       2.641329048603e-12      -9.320007134031e-15 
   68       2.475812667245e-10       4.171985981410e-14      -6.919399735083e-13       8.154594694311e-16       2.684551546958e-11       2.572794595442e-12      -9.443119372316e-15 
