# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01561e-05 to 1.05973 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.412496460389e-04      -2.443099790512e+00      -1.850501098805e+00      -1.850502069939e+00      -2.442514491854e+00      -1.850473481914e+00      -1.850603243582e+00       1.858160757517e-05       2.341812913280e-05       2.341819921345e-05       1.849564074441e-05       2.341602468863e-05       2.341704531131e-05 
       1.557443116070e-04      -2.483777788129e+00      -1.889479584370e+00      -1.889481015167e+00      -2.482927577059e+00      -1.889428508310e+00      -1.889582019837e+00       2.140800783148e-05       2.847558573846e-05       2.847568878491e-05       2.128498135730e-05       2.847253764994e-05       2.847400292943e-05 
       1.706578595195e-04      -2.527446341080e+00      -1.933620754531e+00      -1.933622809417e+00      -2.526244662277e+00      -1.933537542318e+00      -1.933723102494e+00       2.415157046169e-05       3.419622748208e-05       3.419637512677e-05       2.398066963834e-05       3.419190300843e-05       3.419397905906e-05 
       1.860412650193e-04      -2.573812951388e+00      -1.983459741571e+00      -1.983462631044e+00      -2.572153445737e+00      -1.983333171579e+00      -1.983561478400e+00       2.670043024621e-05       4.064694605754e-05       4.064715310074e-05       2.646910342286e-05       4.064091641112e-05       4.064382551807e-05 
       2.019495367172e-04      -2.622493243609e+00      -2.039620103639e+00      -2.039624095568e+00      -2.620246768921e+00      -2.039435737800e+00      -2.039720527721e+00       2.892258586767e-05       4.790546287374e-05       4.790574802000e-05       2.861663786925e-05       4.789717785631e-05       4.790121694529e-05 
       2.184422296999e-04      -2.672990113229e+00      -2.102827741108e+00      -2.102833174837e+00      -2.670001644131e+00      -2.102567067766e+00      -2.102925933623e+00       3.066403946758e-05       5.606197318075e-05       5.606235994397e-05       3.026790218519e-05       5.605072880740e-05       5.605629414962e-05 
       2.355839973340e-04      -2.724670463485e+00      -2.173927362692e+00      -2.173934666658e+00      -2.720756033899e+00      -2.173566699512e+00      -2.174022140578e+00       3.174761410807e-05       6.522108234254e-05       6.522160015756e-05       3.124487872273e-05       6.520597937456e-05       6.521359969171e-05 
       2.534451809383e-04      -2.776740243793e+00      -2.253901928834e+00      -2.253911642605e+00      -2.771684200973e+00      -2.253411014012e+00      -2.253991788703e+00       3.197300598136e-05       7.550407890973e-05       7.550476449603e-05       3.134733071944e-05       7.548396956964e-05       7.549435046474e-05 
       2.721024340162e-04      -2.828219206850e+00      -2.343895525585e+00      -2.343908327406e+00      -2.821772196496e+00      -2.343235703636e+00      -2.343978577337e+00       3.111887250641e-05       8.705159444556e-05       8.705249347643e-05       3.035541551735e-05       8.702501373740e-05       8.703909739194e-05 
       2.916393742733e-04      -2.877917857583e+00      -2.445240177391e+00      -2.445256918611e+00      -2.869796165488e+00      -2.444362056094e+00      -2.445314066344e+00       2.894805865691e-05       1.000267029427e-04       1.000278720819e-04       2.803562592225e-05       9.999177987106e-05       1.000108253080e-04 
