# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.09055 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349808795276e-02       2.594633326726e+04 
       1.362707802683e-02       2.599238890989e+04 
       1.375610441532e-02       2.603614516883e+04 
       1.388516723129e-02       2.607768734064e+04 
       1.401426661081e-02       2.611702001934e+04 
       1.414340271265e-02       2.615414411090e+04 
       1.427257571792e-02       2.618913992080e+04 
       1.440178582977e-02       2.622198976517e+04 
       1.453103327311e-02       2.625274057852e+04 
       1.466031829438e-02       2.628142807344e+04 
       1.478964116138e-02       2.630803167810e+04 
       1.491900216301e-02       2.633265961546e+04 
       1.504840160920e-02       2.635529700916e+04 
       1.517783983073e-02       2.637598476888e+04 
       1.530731717916e-02       2.639473002474e+04 
       1.543683402673e-02       2.640953005641e+04 
       1.556639076630e-02       2.642439580647e+04 
       1.569598781137e-02       2.643806167964e+04 
       1.582562559600e-02       2.644948678074e+04 
       1.595530457487e-02       2.645862811081e+04 
       1.608502522327e-02       2.646557571423e+04 
       1.621478803722e-02       2.647131961889e+04 
       1.634459353345e-02       2.647529649342e+04 
       1.647444224958e-02       2.647907453547e+04 
       1.660433474414e-02       2.647991721753e+04 
       1.673427159678e-02       2.647886702591e+04 
       1.686425340835e-02       2.647606539237e+04 
       1.699428080111e-02       2.647152101340e+04 
       1.712435441886e-02       2.646566485809e+04 
       1.725447492718e-02       2.645862235208e+04 
       1.738464301363e-02       2.644919861434e+04 
       1.751485938798e-02       2.643698743116e+04 
       1.764512478243e-02       2.642614985915e+04 
       1.777543995193e-02       2.641300050012e+04 
       1.790580567440e-02       2.639648988443e+04 
       1.803622275109e-02       2.637969297579e+04 
       1.816669200684e-02       2.636151783143e+04 
       1.829721429042e-02       2.634171178753e+04 
       1.842779047491e-02       2.632151902286e+04 
       1.855842145803e-02       2.629924247378e+04 
       1.868910816253e-02       2.627551510946e+04 
       1.881985153660e-02       2.625041686862e+04 
       1.895065255427e-02       2.622518942934e+04 
       1.908151221584e-02       2.619754979916e+04 
       1.921243154835e-02       2.616913219334e+04 
       1.934341160602e-02       2.613843939961e+04 
       1.947445347077e-02       2.610721991031e+04 
       1.960555825268e-02       2.607512106964e+04 
       1.973672709056e-02       2.604193390617e+04 
       1.986796115246e-02       2.600599433984e+04 
       1.999926163623e-02       2.597016232891e+04 
       2.013062977012e-02       2.593311957204e+04 
       2.026206681336e-02       2.589452271636e+04 
       2.039357405681e-02       2.585723900297e+04 
       2.052515282356e-02       2.581730779837e+04 
       2.065680446963e-02       2.577608103339e+04 
       2.078853038464e-02       2.573341009674e+04 
       2.092033199250e-02       2.568779701435e+04 
       2.105221075219e-02       2.564345204783e+04 
       2.118416815845e-02       2.559971136674e+04 
       2.131620574262e-02       2.555275882875e+04 
       2.144832507339e-02       2.550606918826e+04 
       2.158052775766e-02       2.545832454820e+04 
       2.171281544139e-02       2.540930605826e+04 
       2.184518981047e-02       2.535872256841e+04 
       2.197765259164e-02       2.530655300689e+04 
       2.211020555343e-02       2.525486202368e+04 
       2.224285050711e-02       2.520398091277e+04 
       2.237558930770e-02       2.515083907879e+04 
       2.250842385501e-02       2.509647353547e+04 
       2.264135609466e-02       2.503907234773e+04 
       2.277438801924e-02       2.498366610595e+04 
       2.290752166936e-02       2.492862758838e+04 
       2.304075913487e-02       2.486909425436e+04 
       2.317410255604e-02       2.481300566415e+04 
       2.330755412480e-02       2.475473433372e+04 
       2.344111608601e-02       2.469545302205e+04 
       2.357479073879e-02       2.463294917752e+04 
       2.370858043787e-02       2.457215976686e+04 
       2.384248759499e-02       2.451066531003e+04 
       2.397651468034e-02       2.445088767140e+04 
       2.411066422407e-02       2.438814216978e+04 
       2.424493881783e-02       2.432295008887e+04 
       2.437934111633e-02       2.425854732162e+04 
       2.451387383901e-02       2.419594975568e+04 
       2.464853977174e-02       2.413117724212e+04 
       2.478334176854e-02       2.406286172868e+04 
       2.491828275342e-02       2.399663065623e+04 
       2.505336572221e-02       2.392981989873e+04 
