# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.694460609853e-10       9.003161649997e-15       2.180768516677e-13       7.477314799107e-17       8.179848112251e-11       8.892129540109e-12      -5.784632399770e-15 
   43       1.718726836383e-10       9.732306003528e-15       2.062714882044e-13       7.838223965817e-17       7.789145865649e-11       8.503304456505e-12      -6.046491380911e-15 
   44       1.743253275894e-10       1.049885921575e-14       1.931781993515e-13       8.207939801982e-17       7.423471280810e-11       8.139164310456e-12      -6.969673317557e-15 
   45       1.768087073838e-10       1.130206898512e-14       1.786654242230e-13       8.586479907472e-17       7.079270080467e-11       7.798019147754e-12      -8.215661454729e-15 
   46       1.793245840024e-10       1.214209167611e-14       1.626165729793e-13       8.973845628058e-17       6.756001807606e-11       7.479147050074e-12      -9.577817674691e-15 
   47       1.818717129731e-10       1.301929681276e-14       1.449086249874e-13       9.370030615106e-17       6.453290764967e-11       7.181296486786e-12      -1.086195333694e-14 
   48       1.844456605796e-10       1.393400208722e-14       1.254034619230e-13       9.775023914472e-17       6.169801012355e-11       6.902067244261e-12      -1.183992616218e-14 
   49       1.870385394635e-10       1.488647146052e-14       1.039469833348e-13       1.018880971213e-16       5.903164954832e-11       6.637828263639e-12      -1.224786414311e-14 
   50       1.896422323186e-10       1.587692314694e-14       8.041095842925e-14       1.061136673709e-16       5.650696590467e-11       6.384771436126e-12      -1.187052663812e-14 
   51       1.922597079625e-10       1.690556052829e-14       5.483402588281e-14       1.104266686909e-16       5.411925168267e-11       6.142600819784e-12      -1.082550372936e-14 
   52       1.948963198559e-10       1.797254634811e-14       2.731743803459e-14       1.148267571331e-16       5.186625823364e-11       5.911702796480e-12      -9.353089488764e-15 
   53       1.975564885981e-10       1.907799216153e-14      -2.013230309943e-15       1.193135264597e-16       4.974061357308e-11       5.692069612701e-12      -7.739110519360e-15 
   54       2.002436016741e-10       2.022195690118e-14      -3.300695519777e-14       1.238865054383e-16       4.772947751418e-11       5.483270674143e-12      -6.317203380590e-15 
   55       2.029600505074e-10       2.140444668326e-14      -6.552350147739e-14       1.285452099142e-16       4.581846042003e-11       5.284670975895e-12      -5.390709674182e-15 
   56       2.057075820675e-10       2.262541745456e-14      -9.955525971895e-14       1.332893203727e-16       4.400530951873e-11       5.096215697784e-12      -4.970422497935e-15 
   57       2.084868590092e-10       2.388477049113e-14      -1.351337027301e-13       1.381185437489e-16       4.228901850200e-11       4.917790239581e-12      -4.975679670250e-15 
   58       2.112972371823e-10       2.518234986023e-14      -1.722949946488e-13       1.430325619571e-16       4.066568693049e-11       4.748971500721e-12      -5.308202316033e-15 
   59       2.141366707286e-10       2.651794103454e-14      -2.110803200270e-13       1.480310313199e-16       3.912834148235e-11       4.589008803558e-12      -5.851240512536e-15 
   60       2.170016171790e-10       2.789126950643e-14      -2.515362129142e-13       1.531135819974e-16       3.766675720163e-11       4.436804816611e-12      -6.468718935199e-15 
   61       2.198885305439e-10       2.930197740885e-14      -2.937054667513e-13       1.582798959750e-16       3.627029737151e-11       4.291213875612e-12      -7.033245765636e-15 
   62       2.227989469136e-10       3.074955038064e-14      -3.375967352790e-13       1.635299627760e-16       3.493758240712e-11       4.152058352008e-12      -7.519418815629e-15 
   63       2.257353771639e-10       3.223337175162e-14      -3.832086611381e-13       1.688638803946e-16       3.366868392863e-11       4.019307605485e-12      -7.930042211283e-15 
   64       2.286997760559e-10       3.375274104508e-14      -4.305387225713e-13       1.742817836858e-16       3.246221631754e-11       3.892771889646e-12      -8.269171468663e-15 
   65       2.316934977199e-10       3.530687189420e-14      -4.795832636426e-13       1.797838462877e-16       3.131525374374e-11       3.772093346051e-12      -8.542174949109e-15 
   66       2.347172511373e-10       3.689488995849e-14      -5.303375244570e-13       1.853702825425e-16       3.022324719279e-11       3.656736998265e-12      -8.755795314563e-15 
   67       2.377710556240e-10       3.851583084017e-14      -5.827956713810e-13       1.910413494189e-16       2.917994149300e-11       3.545981745895e-12      -8.918210982885e-15 
   68       2.408547028397e-10       4.016872671971e-14      -6.369490463970e-13       1.967973366318e-16       2.817904609775e-11       3.439119617353e-12      -9.038392144611e-15 
   69       2.439693510338e-10       4.185289130446e-14      -6.927804357030e-13       2.026385303798e-16       2.721982602626e-11       3.336120542114e-12      -9.123879917009e-15 
   70       2.471161753476e-10       4.356768914038e-14      -7.502686887324e-13       2.085652456789e-16       2.630249994374e-11       3.237086719019e-12      -9.182665521551e-15 
   71       2.502958588729e-10       4.531245218369e-14      -8.093903812138e-13       2.145778391052e-16       2.542654920598e-11       3.142052662117e-12      -9.223898541613e-15 
   72       2.535085610890e-10       4.708647998635e-14      -8.701197998434e-13       2.206767104146e-16       2.459067973955e-11       3.050981521006e-12      -9.257930335883e-15 
   73       2.567538863011e-10       4.888903988151e-14      -9.324289269594e-13       2.268623041634e-16       2.379278392205e-11       2.963761401194e-12      -9.296357451781e-15 
   74       2.600308520767e-10       5.071936716895e-14      -9.962874252149e-13       2.331351113277e-16       2.302990246239e-11       2.880201684446e-12      -9.352065038871e-15 
   75       2.633378576839e-10       5.257666530053e-14      -1.061662622251e-12       2.394956709238e-16       2.229818628097e-11       2.800029349138e-12      -9.439270262277e-15 
   76       2.666733326013e-10       5.445996709635e-14      -1.128517860687e-12       2.459444730531e-16       2.159385206268e-11       2.722961532497e-12      -9.569463522267e-15 
   77       2.700378883471e-10       5.636768876571e-14      -1.196807234592e-12       2.524816440452e-16       2.091633434936e-11       2.648946627553e-12      -9.738281666419e-15 
   78       2.734325035268e-10       5.829799451879e-14      -1.266479860876e-12       2.591072065756e-16       2.026564166123e-11       2.577960670462e-12      -9.936308796500e-15 
   79       2.768578612393e-10       6.024892570002e-14      -1.337481380775e-12       2.658211727522e-16       1.964139636022e-11       2.509932916935e-12      -1.015292605790e-14 
   80       2.803143314600e-10       6.221839812390e-14      -1.409753910993e-12       2.726235437138e-16       1.904281690631e-11       2.444743725993e-12      -1.037627093425e-14 
   81       2.838019534235e-10       6.420419941070e-14      -1.483235994864e-12       2.795143092285e-16       1.846870011382e-11       2.382222443718e-12      -1.059319654202e-14 
   82       2.873204180067e-10       6.620398632231e-14      -1.557862553502e-12       2.864934472928e-16       1.791740340771e-11       2.322145287008e-12      -1.078923092512e-14 
   83       2.908690501115e-10       6.821528209795e-14      -1.633564836951e-12       2.935609237299e-16       1.738682707991e-11       2.264233227333e-12      -1.094853634954e-14 
   84       2.944471734182e-10       7.023571613933e-14      -1.710277676073e-12       3.007167071062e-16       1.687492463505e-11       2.208218831943e-12      -1.105719429240e-14 
   85       2.980553127123e-10       7.226379455622e-14      -1.787962726506e-12       3.079608172010e-16       1.638136990353e-11       2.154064154754e-12      -1.111377528572e-14 
   86       3.016941595044e-10       7.429825307019e-14      -1.866589006417e-12       3.152932838734e-16       1.590613505333e-11       2.101775255072e-12      -1.112045484466e-14 
   87       3.053641963563e-10       7.633782741094e-14      -1.946126011145e-12       3.227141323176e-16       1.544897833560e-11       2.051335508580e-12      -1.107985853332e-14 
   88       3.090656856901e-10       7.838125472518e-14      -2.026543787056e-12       3.302233829181e-16       1.500943521649e-11       2.002704650039e-12      -1.099507715346e-14 
   89       3.127986585977e-10       8.042727498546e-14      -2.107813005397e-12       3.378210511067e-16       1.458680950884e-11       1.955817815991e-12      -1.086968193304e-14 
   90       3.165629036501e-10       8.247463239909e-14      -2.189905036149e-12       3.455071472177e-16       1.418016450401e-11       1.910584587464e-12      -1.070773971493e-14 
   91       3.203579557064e-10       8.452207681699e-14      -2.272792021882e-12       3.532816763447e-16       1.378831410357e-11       1.866888032671e-12      -1.051382814549e-14 
   92       3.241830847236e-10       8.656836514253e-14      -2.356446951612e-12       3.611446381964e-16       1.340981395112e-11       1.824583749719e-12      -1.029305086322e-14 
   93       3.280375540968e-10       8.861215451375e-14      -2.440836368391e-12       3.690961436886e-16       1.304330414662e-11       1.783535167711e-12      -1.005056154426e-14 
   94       3.319214644337e-10       9.065166041247e-14      -2.525897077079e-12       3.771367850935e-16       1.268861561339e-11       1.743727602684e-12      -9.790021163896e-15 
   95       3.358350165838e-10       9.268494950034e-14      -2.611556053670e-12       3.852673215542e-16       1.234581450656e-11       1.705169665565e-12      -9.514935709676e-15 
   96       3.397782460242e-10       9.471004318815e-14      -2.697737472517e-12       3.934885687473e-16       1.201486146888e-11       1.667858078801e-12      -9.229134984025e-15 
   97       3.437510153688e-10       9.672491755915e-14      -2.784362679070e-12       4.018014003417e-16       1.169560758854e-11       1.631777216767e-12      -8.936781051021e-15 
   98       3.477530068772e-10       9.872750329227e-14      -2.871350162619e-12       4.102067494569e-16       1.138779035712e-11       1.596898646189e-12      -8.642376683189e-15 
   99       3.517837149638e-10       1.007156855854e-13      -2.958615529026e-12       4.187056101217e-16       1.109102962740e-11       1.563180666559e-12      -8.350773808290e-15 
  100       3.558424387072e-10       1.026873040786e-13      -3.046071473471e-12       4.272990387325e-16       1.080482357127e-11       1.530567850546e-12      -8.067181956117e-15 
  101       3.599282743591e-10       1.046401527774e-13      -3.133627753185e-12       4.359881555119e-16       1.052854463761e-11       1.498990584418e-12      -7.797176705284e-15 
  102       3.640401078533e-10       1.065719799762e-13      -3.221191160193e-12       4.447741459671e-16       1.026143551012e-11       1.468364608454e-12      -7.546708130016e-15 
  103       3.681766073153e-10       1.084804881811e-13      -3.308665494050e-12       4.536582623484e-16       1.000260506528e-11       1.438590557362e-12      -7.322109246944e-15 
  104       3.723365072918e-10       1.103634433533e-13      -3.395957784718e-12       4.626416938420e-16       9.751230391785e-12       1.409577068982e-12      -7.128636761338e-15 
  105       3.765195213036e-10       1.122190196086e-13      -3.482997977270e-12       4.717251540358e-16       9.507202635186e-12       1.381314655443e-12      -6.965850612144e-15 
  106       3.807255391741e-10       1.140455011554e-13      -3.569721867861e-12       4.809092401858e-16       9.270561267959e-12       1.353811000585e-12      -6.831623112434e-15 
  107       3.849543420831e-10       1.158411782438e-13      -3.656065131964e-12       4.901945595216e-16       9.041294062363e-12       1.327068084597e-12      -6.723543324584e-15 
  108       3.892055982817e-10       1.176043482909e-13      -3.741963365795e-12       4.995817292617e-16       8.819335312733e-12       1.301081983428e-12      -6.638909378490e-15 
  109       3.934788588069e-10       1.193333170048e-13      -3.827352127737e-12       5.090713766304e-16       8.604564057768e-12       1.275842668197e-12      -6.574720789782e-15 
  110       3.977735531966e-10       1.210263995092e-13      -3.912166979753e-12       5.186641388732e-16       8.396802302824e-12       1.251333804598e-12      -6.527670778032e-15 
  111       4.020889852046e-10       1.226819214683e-13      -3.996343528819e-12       5.283606632729e-16       8.195813242203e-12       1.227532552309e-12      -6.494138584977e-15 
  112       4.064243285151e-10       1.242982202112e-13      -4.079817468337e-12       5.381616071657e-16       8.001299481437e-12       1.204409364402e-12      -6.470181792726e-15 
  113       4.107786224578e-10       1.258736458564e-13      -4.162524619560e-12       5.480676379574e-16       7.812901259585e-12       1.181927786747e-12      -6.451528641975e-15 
  114       4.151507677227e-10       1.274065624364e-13      -4.244400973014e-12       5.580794331389e-16       7.630194671517e-12       1.160044257427e-12      -6.433570350226e-15 
  115       4.195395220749e-10       1.288953490224e-13      -4.325382729918e-12       5.681976803026e-16       7.452689890206e-12       1.138707906139e-12      -6.411353429992e-15 
  116       4.239436702454e-10       1.303384284223e-13      -4.405404869192e-12       5.784230782185e-16       7.279938563788e-12       1.117872080878e-12      -6.380591407934e-15 
  117       4.283625661972e-10       1.317343548293e-13      -4.484396562266e-12       5.887563401759e-16       7.111874620753e-12       1.097530946717e-12      -6.340855952831e-15 
  118       4.327956490488e-10       1.330817389912e-13      -4.562285275983e-12       5.991981910801e-16       6.948511754832e-12       1.077686980777e-12      -6.292761109317e-15 
  119       4.372422720817e-10       1.343792229438e-13      -4.638998225216e-12       6.097493664534e-16       6.789837154199e-12       1.058339547259e-12      -6.236979929545e-15 
  120       4.417016999958e-10       1.356254813790e-13      -4.714462401249e-12       6.204106124607e-16       6.635810689048e-12       1.039484800542e-12      -6.174245804670e-15 
  121       4.461731061639e-10       1.368192230138e-13      -4.788604600164e-12       6.311826859348e-16       6.486364099180e-12       1.021115588277e-12      -6.105353796336e-15 
  122       4.506555698866e-10       1.379591919581e-13      -4.861351451223e-12       6.420663544017e-16       6.341400181589e-12       1.003221354490e-12      -6.031161968157e-15 
  123       4.551480736472e-10       1.390441690831e-13      -4.932629445259e-12       6.530623961063e-16       6.200791978038e-12       9.857880426723e-13      -5.952592717206e-15 
  124       4.596495003668e-10       1.400729733902e-13      -5.002364963058e-12       6.641716000373e-16       6.064381962652e-12       9.687979988858e-13      -5.870634105496e-15 
  125       4.641586306587e-10       1.410444633787e-13      -5.070484303743e-12       6.753947659529e-16       5.931981229494e-12       9.522298748553e-13      -5.786341191466e-15 
  126       4.686741400837e-10       1.419575384147e-13      -5.136913713162e-12       6.867327044063e-16       5.803368680153e-12       9.360585310681e-13      -5.700837361466e-15 
  127       4.731945964047e-10       1.428111400991e-13      -5.201579412271e-12       6.981862367705e-16       5.678290211326e-12       9.202549398713e-13      -5.615315661241e-15 
  128       4.777184568415e-10       1.436042536363e-13      -5.264407625522e-12       7.097561952644e-16       5.556457902402e-12       9.047860885690e-13      -5.531040127414e-15 
  129       4.822442314218e-10       1.443359541288e-13      -5.325325942966e-12       7.214434374657e-16       5.437611900252e-12       8.896225121265e-13      -5.449102169693e-15 
  130       4.867709991234e-10       1.450055482980e-13      -5.384267515226e-12       7.332488915970e-16       5.321715474830e-12       8.747620313935e-13      -5.369656673193e-15 
  131       4.912979434293e-10       1.456124509685e-13      -5.441167374505e-12       7.451735162789e-16       5.208779925721e-12       8.602084479899e-13      -5.292604221742e-15 
  132       4.958241897657e-10       1.461561432089e-13      -5.495961179668e-12       7.572182866153e-16       5.098803442823e-12       8.459641062386e-13      -5.217828118192e-15 
  133       5.003488039458e-10       1.466361740214e-13      -5.548585254176e-12       7.693841943219e-16       4.991770742569e-12       8.320298508582e-13      -5.145193963137e-15 
  134       5.048707906131e-10       1.470521620315e-13      -5.598976624012e-12       7.816722478558e-16       4.887652704150e-12       8.184049846550e-13      -5.074549233627e-15 
  135       5.093890916844e-10       1.474037971782e-13      -5.647073055611e-12       7.940834725441e-16       4.786406005734e-12       8.050872262153e-13      -5.005722861890e-15 
  136       5.139025847937e-10       1.476908424034e-13      -5.692813093786e-12       8.066189107134e-16       4.687972760693e-12       7.920726675974e-13      -4.938524814042e-15 
  137       5.184100817354e-10       1.479131353424e-13      -5.736136099663e-12       8.192796218184e-16       4.592280153820e-12       7.793557320246e-13      -4.872745668810e-15 
  138       5.229103269074e-10       1.480705900129e-13      -5.776982288604e-12       8.320666825712e-16       4.499240077553e-12       7.669291315763e-13      -4.808156196246e-15 
  139       5.274019957551e-10       1.481631985055e-13      -5.815292768138e-12       8.449811870704e-16       4.408748768198e-12       7.547838248813e-13      -4.744506936445e-15 
  140       5.318836932140e-10       1.481910326736e-13      -5.851009575890e-12       8.580242469301e-16       4.320686442150e-12       7.429089748094e-13      -4.681527778261e-15 
  141       5.363539521538e-10       1.481542458226e-13      -5.884075717512e-12       8.711969914086e-16       4.234916932114e-12       7.312919061638e-13      -4.618927538023e-15 
  142       5.408112318214e-10       1.480530744004e-13      -5.914435204607e-12       8.845005675381e-16       4.151287323327e-12       7.199180633735e-13      -4.556393538256e-15 
  143       5.452539162842e-10       1.478878396870e-13      -5.942033092662e-12       8.979361402531e-16       4.069627589783e-12       7.087709681852e-13      -4.493591186394e-15 
  144       5.496804445602e-10       1.476589586884e-13      -5.966815858680e-12       9.115047754238e-16       3.989786244107e-12       6.978358295037e-13      -4.430233395348e-15 
  145       5.540897187528e-10       1.473669744618e-13      -5.988732495966e-12       9.252070756859e-16       3.911742016258e-12       6.871108633205e-13      -4.366297447983e-15 
  146       5.584807333803e-10       1.470125320066e-13      -6.007733599877e-12       9.390435087864e-16       3.835502544582e-12       6.765970135488e-13      -4.301828811267e-15 
  147       5.628524465106e-10       1.465963710555e-13      -6.023771077333e-12       9.530145209169e-16       3.761069195384e-12       6.662943789560e-13      -4.236873194509e-15 
  148       5.672037789608e-10       1.461193278178e-13      -6.036798186705e-12       9.671205361698e-16       3.688436906128e-12       6.562021918459e-13      -4.171476529463e-15 
  149       5.715336134979e-10       1.455823367219e-13      -6.046769577692e-12       9.813619559940e-16       3.617594028627e-12       6.463187967398e-13      -4.105684950442e-15 
  150       5.758407940383e-10       1.449864321580e-13      -6.053641331201e-12       9.957391586515e-16       3.548522172247e-12       6.366416290585e-13      -4.039544774416e-15 
  151       5.801241248488e-10       1.443327502209e-13      -6.057370999232e-12       1.010252498673e-15       3.481196047100e-12       6.271671938033e-13      -3.973102481127e-15 
  152       5.843823697462e-10       1.436225304528e-13      -6.057917644758e-12       1.024902306314e-15       3.415583307244e-12       6.178910442385e-13      -3.906404693189e-15 
  153       5.886142512979e-10       1.428571175860e-13      -6.055241881604e-12       1.039688887013e-15       3.351644393875e-12       6.088077605719e-13      -3.839498156199e-15 
  154       5.928184500218e-10       1.420379632856e-13      -6.049305914330e-12       1.054612520841e-15       3.289332378531e-12       5.999109286374e-13      -3.772429718843e-15 
  155       5.969936035866e-10       1.411666278924e-13      -6.040073578113e-12       1.069673461968e-15       3.228592806281e-12       5.911931185760e-13      -3.705246313004e-15 
  156       6.011383060122e-10       1.402447821655e-13      -6.027510378626e-12       1.084871938110e-15       3.169363538930e-12       5.826458635174e-13      -3.637994933866e-15 
  157       6.052511068695e-10       1.392742090251e-13      -6.011583531924e-12       1.100208149988e-15       3.111574598209e-12       5.742596382620e-13      -3.570722620021e-15 
  158       6.093305104811e-10       1.382568052953e-13      -5.992262004316e-12       1.115682270787e-15       3.055148008978e-12       5.660238379622e-13      -3.503476433581e-15 
  159       6.133749751209e-10       1.371945834467e-13      -5.969516552258e-12       1.131294445607e-15       2.999997642417e-12       5.579267568037e-13      -3.436303440279e-15 
  160       6.173829122150e-10       1.360896733392e-13      -5.943319762223e-12       1.147044790922e-15       2.946029059230e-12       5.499555666879e-13      -3.369250689577e-15 
  161       6.213527967435e-10       1.349442745280e-13      -5.913645949781e-12       1.162933404450e-15       2.893158860611e-12       5.420992030640e-13      -3.302363447184e-15 
  162       6.252835110991e-10       1.337605047817e-13      -5.880470763047e-12       1.178960396877e-15       2.841374993444e-12       5.343573539747e-13      -3.235679758704e-15 
  163       6.291740302503e-10       1.325405414366e-13      -5.843771620221e-12       1.195125861909e-15       2.790681503207e-12       5.267322288936e-13      -3.169235364981e-15 
  164       6.330233129877e-10       1.312866711316e-13      -5.803527886159e-12       1.211429865622e-15       2.741079439326e-12       5.192257151904e-13      -3.103065378736e-15 
  165       6.368303016362e-10       1.300012913243e-13      -5.759720911611e-12       1.227872445967e-15       2.692566788119e-12       5.118393701869e-13      -3.037204256637e-15 
  166       6.405939217669e-10       1.286869118052e-13      -5.712334072453e-12       1.244453612270e-15       2.645138405750e-12       5.045744132148e-13      -2.971685771365e-15 
