# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.34
# for k=1.02462e-05 to 1.06981 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       4.672844122798e-04      -2.338872979447e+00      -1.994597622262e+00      -1.994657948040e+00      -2.326468524537e+00      -1.989747610747e+00      -1.994918221173e+00       7.551033722345e-05       1.774347923611e-04       1.774502142715e-04       7.187028057964e-05       1.768370117544e-04       1.773269370923e-04 
       4.984833052363e-04      -2.396458090745e+00      -2.101410118194e+00      -2.101487118036e+00      -2.381001791700e+00      -2.094969420418e+00      -2.101694264183e+00       7.457756221885e-05       2.018584837374e-04       2.018780614178e-04       7.015862779884e-05       2.010864484783e-04       2.017239922431e-04 
       5.317805471014e-04      -2.452781611915e+00      -2.222947270113e+00      -2.223045372432e+00      -2.433624383770e+00      -2.214447270890e+00      -2.223182612580e+00       7.146271955517e-05       2.296483326082e-04       2.296731228128e-04       6.615164821242e-05       2.286514128019e-04       2.294814633278e-04 
       5.673565331451e-04      -2.506126380962e+00      -2.361390254667e+00      -2.361515012890e+00      -2.482520655293e+00      -2.350223166165e+00      -2.361561371072e+00       6.572893713814e-05       2.613027483349e-04       2.613340561770e-04       5.941977547189e-05       2.600153758609e-04       2.610968307620e-04 
       6.053970865584e-04      -2.554426760758e+00      -2.519220179920e+00      -2.519378523920e+00      -2.525531681682e+00      -2.504598016882e+00      -2.519308042538e+00       5.698373555616e-05       2.973886044448e-04       2.974280301556e-04       4.959270900734e-05       2.957258888713e-04       2.971360359593e-04 
       6.460903451521e-04      -2.595323572008e+00      -2.699238990088e+00      -2.699439511608e+00      -2.560222812831e+00      -2.680141311540e+00      -2.699220442355e+00       4.495492442983e-05       3.385459831527e-04       3.385954709758e-04       3.644211413671e-05       3.363981331880e-04       3.382383060880e-04 
       6.896227640644e-04      -2.626295392021e+00      -2.904583582299e+00      -2.904836846218e+00      -2.584032953508e+00      -2.879691587493e+00      -2.904430879756e+00       2.959515297206e-05       3.854913590536e-04       3.855532445626e-04       1.999401979822e-05       3.827166558685e-04       3.851194487040e-04 
       7.361742671131e-04      -2.644890398467e+00      -3.138730077376e+00      -3.139048942610e+00      -2.594529881458e+00      -3.106344512495e+00      -3.138410564293e+00       1.121133320053e-05       4.390185236740e-04       4.390955739240e-04       6.660582877638e-07       4.354345802827e-04       4.385729124002e-04 
       7.859126857422e-04      -2.649073723346e+00      -3.405485135973e+00      -3.405885059676e+00      -2.589785257315e+00      -3.363425542051e+00      -3.404961135776e+00      -9.396508493373e-06       4.999965397076e-04       5.000919787194e-04      -2.058796793084e-05       4.953695910991e-04       4.994678831306e-04 
       8.389877502628e-04      -2.637682621619e+00      -3.708961602875e+00      -3.709460890427e+00      -2.568858014285e+00      -3.654444818683e+00      -3.708190587653e+00      -3.081959083152e-05       5.693641069080e-04       5.694816175486e-04      -4.216208654272e-05       5.633961194024e-04       5.687437593423e-04 
