# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       8.055387056366e+13       1.164404089384e-25       5.751644494012e-09       1.400529165362e+22       1.419596753721e+04       1.762294901273e-10       1.143540131519e+18       3.320730478492e-09       1.159426930788e+44       1.290550890703e+33       6.845328518960e+33       2.667896212492e+43       3.694949733521e-08       5.352653909097e+43       1.961481943028e+44       8.270438183108e-18       1.999999999988e+00 
       7.999391317146e+13       1.180762802436e-25       5.791662260890e-09       1.381125729981e+22       1.419596753721e+04       1.774630965582e-10       1.135590994557e+18       3.343975591841e-09       1.127523238606e+44       1.263824363398e+33       6.703565911310e+33       2.594484307630e+43       3.694949733521e-08       5.205366125677e+43       1.907508282016e+44       8.386629569142e-18       1.999999999987e+00 
       7.943784823382e+13       1.197351339047e-25       5.831680027768e-09       1.361991116782e+22       1.419596753721e+04       1.787053382341e-10       1.127697114753e+18       3.367383420984e-09       1.096497433204e+44       1.237651326287e+33       6.564739121404e+33       2.523092461775e+43       3.694949733521e-08       5.062131227332e+43       1.855019802193e+44       8.504453327958e-18       1.999999999987e+00 
       7.888564869297e+13       1.214172928009e-25       5.873516784050e-09       1.343121601404e+22       1.419596753721e+04       1.799562756017e-10       1.119858107997e+18       3.390955104931e-09       1.066325357967e+44       1.212020316922e+33       6.428787350235e+33       2.453665089416e+43       3.694949733521e-08       4.922837691730e+43       1.803975636158e+44       8.623932392762e-18       1.999999999986e+00 
       7.833728767921e+13       1.231230843475e-25       5.913534550928e-09       1.324513511087e+22       1.419596753721e+04       1.812159695310e-10       1.112073592848e+18       3.414691790665e-09       1.036983520993e+44       1.186920110237e+33       6.295651057905e+33       2.386148134572e+43       3.694949733521e-08       4.787377065269e+43       1.754336041052e+44       8.745090018947e-18       1.999999999985e+00 
       7.779273850965e+13       1.248528405595e-25       5.955371307209e-09       1.306163223954e+22       1.419596753721e+04       1.824844813177e-10       1.104343190514e+18       3.438594633199e-09       1.008449076800e+44       1.162339713630e+33       6.165271937553e+33       2.320489028711e+43       3.694949733521e-08       4.655643878645e+43       1.706062367609e+44       8.867949788622e-18       1.999999999985e+00 
       7.725197468684e+13       1.266068981165e-25       5.997208063491e-09       1.288067168306e+22       1.419596753721e+04       1.837618726869e-10       1.096666524840e+18       3.462664795632e-09       9.806998085426e+43       1.138268362150e+33       6.037592889818e+33       2.256636649817e+43       3.694949733521e-08       4.527535564727e+43       1.659117030069e+44       8.992535615201e-18       1.999999999984e+00 
       7.671496989756e+13       1.283855984281e-25       6.039044819772e-09       1.270221821930e+22       1.419596753721e+04       1.850482057957e-10       1.089043222284e+18       3.486903449201e-09       9.537141107086e+43       1.114695513780e+33       5.912557997830e+33       2.194541282588e+43       3.694949733521e-08       4.402952378702e+43       1.613463476908e+44       9.118871748058e-18       1.999999999983e+00 
       7.618169801148e+13       1.301892877004e-25       6.080881576054e-09       1.252623711409e+22       1.419596753721e+04       1.863435432363e-10       1.081472911901e+18       3.511311773345e-09       9.274709723012e+43       1.091610844822e+33       5.790112502727e+33       2.134154579725e+43       3.694949733521e-08       4.281797320412e+43       1.569066162384e+44       9.246982777246e-18       1.999999999983e+00 
       7.565213307992e+13       1.320183170033e-25       6.124537321739e-09       1.235269411448e+22       1.419596753721e+04       1.876479480389e-10       1.073955225324e+18       3.535890955758e-09       9.019499604785e+43       1.069004245376e+33       5.670202779665e+33       2.075429524292e+43       3.694949733521e-08       4.163976058830e+43       1.525890518858e+44       9.376893638282e-18       1.999999999982e+00 
       7.512624933457e+13       1.338730423389e-25       6.166374078020e-09       1.218155544207e+22       1.419596753721e+04       1.889614836752e-10       1.066489796746e+18       3.560642192448e-09       8.771312046443e+43       1.046865814913e+33       5.552776314344e+33       2.018320393108e+43       3.694949733521e-08       4.049396858618e+43       1.483902929883e+44       9.508629617005e-18       1.999999999982e+00 
       7.460402118627e+13       1.357538247107e-25       6.210029823706e-09       1.201278778646e+22       1.419596753721e+04       1.902842140609e-10       1.059076262906e+18       3.585566687795e-09       8.529953809772e+43       1.025185857937e+33       5.437781679998e+33       1.962782721146e+43       3.694949733521e-08       3.937970508694e+43       1.443070704026e+44       9.642216354493e-18       1.999999999981e+00 
       7.408542322370e+13       1.376610301940e-25       6.253685569391e-09       1.184635829873e+22       1.419596753721e+04       1.916162035593e-10       1.051714263064e+18       3.610665654610e-09       8.295236973852e+43       1.003954879738e+33       5.325168514881e+33       1.908773266912e+43       3.694949733521e-08       3.829610252782e+43       1.403362049418e+44       9.777679852056e-18       1.999999999981e+00 
       7.357043021222e+13       1.395950300072e-25       6.297341315076e-09       1.168223458504e+22       1.419596753721e+04       1.929575169843e-10       1.044403438992e+18       3.635940314192e-09       8.066978788740e+43       9.831635822396e+32       5.214887500207e+33       1.856249978780e+43       3.694949733521e-08       3.724231721856e+43       1.364746049000e+44       9.915046476296e-18       1.999999999980e+00 
       7.305901709257e+13       1.415562005838e-25       6.340997060761e-09       1.152038470039e+22       1.419596753721e+04       1.943082196031e-10       1.037143434947e+18       3.661391896391e-09       7.845001533182e+43       9.628028599195e+32       5.106890338555e+33       1.805171962250e+43       3.694949733521e-08       3.621752868455e+43       1.327192636449e+44       1.005434296424e-17       1.999999999979e+00 
       7.255115897971e+13       1.435449236458e-25       6.386471795850e-09       1.136077714232e+22       1.419596753721e+04       1.956683771404e-10       1.029933897663e+18       3.687021639665e-09       7.629132376242e+43       9.428637958269e+32       5.001129732709e+33       1.755499448105e+43       3.694949733521e-08       3.522093902800e+43       1.290672572774e+44       1.019559642854e-17       1.999999999979e+00 
       7.204683116158e+13       1.455615862781e-25       6.430127541535e-09       1.120338084483e+22       1.419596753721e+04       1.970380557804e-10       1.022774476329e+18       3.712830791143e-09       7.419203242731e+43       9.233376576752e+32       4.897559364956e+33       1.707193761450e+43       3.694949733521e-08       3.425177230668e+43       1.255157423543e+44       1.033883436277e-17       1.999999999978e+00 
