# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02462e-05 to 1.06981 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       2.556961213766e-04      -2.720809022183e+00      -2.212444632846e+00      -2.212457205042e+00      -2.714610727838e+00      -2.211751732329e+00      -2.212582296433e+00       2.770947964636e-05       7.181343697390e-05       7.181420888495e-05       2.699106237340e-05       7.178373141707e-05       7.179873808410e-05 
       2.745862457772e-04      -2.776916106919e+00      -2.306181915092e+00      -2.306198514178e+00      -2.769017452716e+00      -2.305246441053e+00      -2.306312016522e+00       2.613080316507e-05       8.280584203752e-05       8.280685603301e-05       2.525927735434e-05       8.276649490128e-05       8.278697216569e-05 
       2.943793413763e-04      -2.831412121112e+00      -2.411539061322e+00      -2.411560812051e+00      -2.821469826614e+00      -2.410289657302e+00      -2.411658782535e+00       2.311856248987e-05       9.516071477504e-05       9.516203599322e-05       2.208480306726e-05       9.510892038585e-05       9.513675534628e-05 
       3.151695823064e-04      -2.882805057109e+00      -2.530065185850e+00      -2.530093504396e+00      -2.870438657727e+00      -2.528410473707e+00      -2.530171075391e+00       1.840899633220e-05       1.090596514898e-04       1.090613609032e-04       1.721342264417e-05       1.089918188251e-04       1.090295418270e-04 
       3.370597563996e-04      -2.929345391858e+00      -2.663559763052e+00      -2.663596431309e+00      -2.914145080491e+00      -2.661382584768e+00      -2.663647641825e+00       1.174637353444e-05       1.247135880888e-04       1.247157861466e-04       1.040454471310e-05       1.246251146193e-04       1.246761207208e-04 
       3.601619193749e-04      -2.969038378028e+00      -2.814113122530e+00      -2.814160381081e+00      -2.950579863455e+00      -2.811263045148e+00      -2.814177990533e+00       2.908714494758e-06       1.423675424251e-04       1.423703534671e-04       1.458759470711e-06       1.422525195642e-04       1.423213661232e-04 
       3.845979762574e-04      -2.999690340145e+00      -2.984152747822e+00      -2.984213411772e+00      -2.977559508158e+00      -2.980436295150e+00      -2.984188700394e+00      -8.255047788655e-06       1.623060365359e-04       1.623096140943e-04      -9.742965847009e-06       1.621568654633e-04       1.622496707927e-04 
       4.105001367699e-04      -3.019005053836e+00      -3.176495651334e+00      -3.176573253846e+00      -2.992835681082e+00      -3.171663562183e+00      -3.176495817356e+00      -2.177467863027e-05       1.848592288514e-04       1.848637619558e-04      -2.318693458278e-05       1.846661189914e-04       1.847910940570e-04 
       4.380111757167e-04      -3.024748791001e+00      -3.394406807349e+00      -3.394505776154e+00      -2.994276670254e+00      -3.388137414081e+00      -3.394363326025e+00      -3.749497927950e-05       2.104097547395e-04       2.104154753128e-04      -3.866171157663e-05       2.101600689375e-04       2.103282222092e-04 
       4.672844122798e-04      -3.015002020828e+00      -3.641663185030e+00      -3.641789057343e+00      -2.980138171758e+00      -3.633540746853e+00      -3.641567241544e+00      -5.500250806665e-05       2.394002204323e-04       2.394074118245e-04      -5.568507422414e-05       2.390776205361e-04       2.393036850159e-04 
       4.984833052363e-04      -2.988508875808e+00      -3.922622287304e+00      -3.922781968081e+00      -2.949432370399e+00      -3.912108798506e+00      -3.922464228724e+00      -7.355289829328e-05       2.723412229220e-04       2.723502295506e-04      -7.343465750059e-05       2.719245568225e-04       2.722281971778e-04 
       5.317805471014e-04      -2.945117423977e+00      -4.242293232475e+00      -4.242495299550e+00      -2.902383847427e+00      -4.228691849462e+00      -4.242062780761e+00      -9.201908159330e-05       3.098196642973e-04       3.098309022560e-04      -9.070475989279e-05       3.092815203713e-04       3.096888859329e-04 
       5.673565331451e-04      -2.886269324183e+00      -4.606407312870e+00      -4.606662369650e+00      -2.840923041770e+00      -4.588815117730e+00      -4.606093876961e+00      -1.088939778749e-04       3.525070019194e-04       3.525209702713e-04      -1.059255187100e-04       3.518118395139e-04       3.523575343218e-04 
       6.053970865584e-04      -2.815442799341e+00      -5.021483654808e+00      -5.021804726365e+00      -2.769109395689e+00      -4.998731013656e+00      -5.021076713058e+00      -1.223946935253e-04       4.011669217517e-04       4.011842140524e-04      -1.172939855240e-04       4.002686675518e-04       4.009982109684e-04 
       6.460903451521e-04      -2.738381524577e+00      -5.494884194619e+00      -5.495287155850e+00      -2.693301717884e+00      -5.465457519519e+00      -5.494373667987e+00      -1.307213766235e-04       4.566617580669e-04       4.566830734913e-04      -1.230710638623e-04       4.555007394194e-04       4.564735912777e-04 
