# Matter power spectrum P(k) at redshift z=0
# for k=1.02462e-05 to 1.06981 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.311567705224e-02       2.642902784327e+04 
       1.324187850277e-02       2.647422999556e+04 
       1.336811598853e-02       2.651709938652e+04 
       1.349438958712e-02       2.655766627808e+04 
       1.362069939952e-02       2.659595887760e+04 
       1.374704554973e-02       2.663200727250e+04 
       1.387342818434e-02       2.666583971538e+04 
       1.399984747220e-02       2.669748431652e+04 
       1.412630360416e-02       2.672696998159e+04 
       1.425279679273e-02       2.675432442346e+04 
       1.437932727187e-02       2.677957477641e+04 
       1.450589529677e-02       2.680274894955e+04 
       1.463250114368e-02       2.682387461001e+04 
       1.475914510972e-02       2.684297792272e+04 
       1.488582751275e-02       2.686008577666e+04 
       1.501254869131e-02       2.687522515811e+04 
       1.511476363636e-02       2.688601724457e+04 
       1.513930900447e-02       2.688842203943e+04 
       1.526610883181e-02       2.689970213992e+04 
       1.539294857337e-02       2.690909127735e+04 
       1.551982864963e-02       2.691661485480e+04 
       1.564674950151e-02       2.692229844993e+04 
       1.577371159043e-02       2.692616648500e+04 
       1.590071539829e-02       2.692824375434e+04 
       1.602776142759e-02       2.692855470740e+04 
       1.615485020149e-02       2.692712358075e+04 
       1.628198226391e-02       2.692397470677e+04 
       1.640915817966e-02       2.691913188093e+04 
       1.653637853455e-02       2.691261870360e+04 
       1.666364393559e-02       2.690445886754e+04 
       1.679095501111e-02       2.689467531424e+04 
       1.691831241100e-02       2.688329160585e+04 
       1.704571680687e-02       2.687033044809e+04 
       1.717316889231e-02       2.685581508232e+04 
       1.730066938311e-02       2.683976807005e+04 
       1.742821901751e-02       2.682221199956e+04 
       1.755581855648e-02       2.680316910736e+04 
       1.768346878403e-02       2.678266201454e+04 
       1.781117050747e-02       2.676071231068e+04 
       1.793892455778e-02       2.673734224746e+04 
       1.806673178991e-02       2.671257358218e+04 
       1.819459308317e-02       2.668642796776e+04 
       1.832250934156e-02       2.665892681886e+04 
       1.845048149420e-02       2.663009151989e+04 
       1.857851049570e-02       2.659994344481e+04 
       1.870659732663e-02       2.656850340967e+04 
       1.883474299390e-02       2.653579260516e+04 
       1.896294853126e-02       2.650183169698e+04 
       1.909121499977e-02       2.646664136840e+04 
       1.921954348829e-02       2.643024200228e+04 
